interval_index,node_index,fraction,z_mid,group,raw_component_sum_kappa_cMpc_inv,authoritative_total_kappa_cMpc_inv,raw_sum_vs_authoritative_relative_residual,conditioned_kappa_sum_relative_residual,conditioned_current_sum_relative_residual,minimum_component_kappa_cMpc_inv,minimum_component_current_s-1_cMpc-3,exact_zero_G3_current
0,12,0.8535533905932737,5.95,G2a,0.021587094142336186,0.0215871113760321,7.983326538959721e-07,0.0,0.0,0.0,0.0,True
0,12,0.8535533905932737,5.95,G2b,0.0009295992435448509,0.0009295992435441,8.077872587337546e-13,0.0,0.0,0.0,0.0,True
0,12,0.8535533905932737,5.95,G3,1.919832153498629,1.9198321534986345,2.8914585647550627e-15,0.0,0.0,0.0,0.0,True
0,13,0.9157348061512728,5.95,G1,0.0440106656418393,0.0440106391083992,6.028869528440326e-07,0.0,0.0,0.0,0.0,True
0,13,0.9157348061512728,5.95,G2a,0.021857287705268104,0.0218573073619936,8.993205417190518e-07,0.0,0.0,0.0,0.0,True
0,13,0.9157348061512728,5.95,G2b,0.0009311209331199566,0.0009311209331199,6.078195795052067e-14,0.0,0.0,0.0,0.0,True
0,13,0.9157348061512728,5.95,G3,1.9198510721549804,1.919851072154986,2.8914300716538348e-15,0.0,0.0,0.0,0.0,True
0,14,0.9619397662556434,5.95,G1,0.044474047169742716,0.0444740212044194,5.838312482631522e-07,0.0,0.0,0.0,0.0,True
0,14,0.9619397662556434,5.95,G2a,0.02205773829092135,0.0220577594943491,9.612684259761842e-07,0.0,0.0,0.0,0.0,True
0,14,0.9619397662556434,5.95,G2b,0.0009325843825872601,0.0009325843825872,6.452308412672682e-14,0.0,0.0,0.0,0.0,True
0,14,0.9619397662556434,5.95,G3,1.9198651230092982,1.919865123009304,3.0070652666483365e-15,0.0,0.0,0.0,0.0,True
0,15,0.9903926402016152,5.95,G1,0.04475825020356655,0.0447582246709206,5.70457075467714e-07,0.0,0.0,0.0,0.0,True
0,15,0.9903926402016152,5.95,G2a,0.022180937542509094,0.022180959580619,9.935598063879743e-07,0.0,0.0,0.0,0.0,True
0,15,0.9903926402016152,5.95,G2b,0.0009336150187865763,0.0009336150187865,8.175514682935305e-14,0.0,0.0,0.0,0.0,True
0,15,0.9903926402016152,5.95,G3,1.9198737714574008,1.919873771457406,2.6600842144944234e-15,0.0,0.0,0.0,0.0,True
0,16,1.0,5.95,G1,0.04485399832853845,0.0448539729557437,5.656755262048707e-07,0.0,0.0,0.0,0.0,True
0,16,1.0,5.95,G2a,0.022222485348088645,0.0222225076467439,1.003426598387107e-06,0.0,0.0,0.0,0.0,True
0,16,1.0,5.95,G2b,0.0009339841313215446,0.0009339841313215,4.771034945326641e-14,0.0,0.0,0.0,0.0,True
