interval_index,z_mid,group,component,conditioned_quadrature_average_rate_s-1_cMpc-3,canonical_component_average_rate_s-1_cMpc-3,relative_difference,load_bearing,interpretation
3,5.65,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G1,EFFECTIVE_HI_SUBGRID,3.2262755224887885e+50,3.226257082722844e+50,5.71552900828819e-06,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G2a,EFFECTIVE_HI_SUBGRID,1.3220475541203903e+50,1.3220344239654479e+50,9.9317799176588e-06,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G2a,EXPLICIT_HEI_ATOMIC,3.8675983527558835e+48,3.867591091881269e+48,1.8773635686922392e-06,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G2b,EXPLICIT_HEI_ATOMIC,3.0790340898815224e+48,3.079055396948032e+48,6.920001027106433e-06,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G2b,EXPLICIT_HI_ATOMIC,3.5846913500101403e+48,3.584699943605521e+48,2.39729838367299e-06,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
4,5.55,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,False,AUDITOR_ONLY_CONDITIONAL_RESPLIT_VS_CANONICAL_INTERVAL_COMPONENT_DECOMPOSITION
