interval_index,z_mid,group,component,partition_lane,macro_index,macro_owner_current_s-1_cMpc-3
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,7,1.2550038446217102e+49
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,8,5.148989232328538e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,9,2.2366067787382785e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,10,1.935600639611807e+47
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,11,4.821551826853714e+45
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,12,2.5004432362826894e+49
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,13,6.583109705424204e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,14,2.5346292798088545e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,15,1.4479584835192838e+48
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,16,1.38408257712105e+47
0,5.95,G2a,EFFECTIVE_HI_SUBGRID,SCRIPT_SELF_SHIELDING_AUDITOR,17,3.714615560522309e+45
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,0,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,1,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,2,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,3,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,4,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,5,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,6,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,7,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,8,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,9,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,10,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,11,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,12,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,13,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,14,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,15,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,16,0.0
0,5.95,G2a,EXPLICIT_HI_ATOMIC,STATE_DERIVED,17,0.0
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,0,2.128656826407566e+47
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,1,4.077558857058283e+47
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,2,2.296417127965987e+47
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,3,1.1428786928046421e+47
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,4,1.1466867178255516e+46
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,5,2.9763387435777556e+44
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,6,9.609948744538538e+47
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,7,1.8408383696727714e+48
0,5.95,G2a,EXPLICIT_HEI_ATOMIC,STATE_DERIVED,8,1.036731267438604e+48
