interval_index,z_mid,refinement,substep,fraction_left,fraction_right,dt_s,mode,species_reservoir,reservoir_start_cMpc-3,assigned_absorption_cMpc-3,recombination_supply_cMpc-3,material_inflow_cMpc-3,material_outflow_cMpc-3,capacity_cMpc-3,slack_cMpc-3,overshoot_cMpc-3,feasible,reachable,status
1,5.85,2,1,0.5,1.0,331015365028908.8,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,1.5729860325818593e+65,8.144129507191193e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
1,5.85,4,0,0.0,0.25,165507682514454.4,OWNER_CORRECT,HI,3.749247656263292e+62,2.597379184694664e+62,4.0720647535955966e+64,0.0,0.0,4.1095572301582295e+64,4.0835834383112826e+64,0.0,True,True,PASS
1,5.85,4,0,0.0,0.25,165507682514454.4,OWNER_CORRECT,HeI,4.243877658835477e+61,1.3281369273779364e+63,6.167728658191468e+63,0.0,0.0,6.210167434779823e+63,4.8820305074018864e+63,0.0,True,True,PASS
1,5.85,4,0,0.0,0.25,165507682514454.4,OWNER_CORRECT,HeII,4.351326991785062e+65,0.0,9.786636742003664e+61,1.3281369273779364e+63,6.167728658191468e+63,4.303909738151127e+65,4.303909738151127e+65,0.0,True,True,PASS
1,5.85,4,0,0.0,0.25,165507682514454.4,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,3.749247656263292e+62,8.020097355553747e+64,4.0720647535955966e+64,0.0,0.0,4.1095572301582295e+64,0.0,3.910540125395518e+64,False,True,CAPACITY_FAILURE
1,5.85,4,1,0.25,0.5,165507682514454.4,OWNER_CORRECT,HI,4.0835834383112826e+64,3.317184303768307e+62,4.0720647535955966e+64,0.0,0.0,8.15564819190688e+64,8.122476348869196e+64,0.0,True,True,PASS
1,5.85,4,1,0.25,0.5,165507682514454.4,OWNER_CORRECT,HeI,4.8820305074018864e+63,1.3495894953934385e+63,6.167728658191468e+63,0.0,0.0,1.1049759165593354e+64,9.700169670199916e+63,0.0,True,True,PASS
1,5.85,4,1,0.25,0.5,165507682514454.4,OWNER_CORRECT,HeII,4.303909738151127e+65,0.0,9.786636742003664e+61,1.3495894953934385e+63,6.167728658191468e+63,4.256707010197347e+65,4.256707010197347e+65,0.0,True,True,PASS
1,5.85,4,1,0.25,0.5,165507682514454.4,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,8.086559098118433e+64,4.0720647535955966e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
1,5.85,4,2,0.5,0.75,165507682514454.4,OWNER_CORRECT,HI,8.122476348869196e+64,4.204037445528845e+62,4.0720647535955966e+64,0.0,0.0,1.2194541102464792e+65,1.2152500728009504e+65,0.0,True,True,PASS
1,5.85,4,2,0.5,0.75,165507682514454.4,OWNER_CORRECT,HeI,9.700169670199916e+63,1.3701628415703953e+63,6.167728658191468e+63,0.0,0.0,1.5867898328391386e+64,1.449773548682099e+64,0.0,True,True,PASS
1,5.85,4,2,0.5,0.75,165507682514454.4,OWNER_CORRECT,HeII,4.256707010197347e+65,0.0,9.786636742003664e+61,1.3701628415703953e+63,6.167728658191468e+63,4.209710015705337e+65,4.209710015705337e+65,0.0,True,True,PASS
1,5.85,4,2,0.5,0.75,165507682514454.4,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,7.968902231402535e+64,4.0720647535955966e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
1,5.85,4,3,0.75,1.0,165507682514454.4,OWNER_CORRECT,HI,1.2152500728009504e+65,5.245906862419634e+62,4.0720647535955966e+64,0.0,0.0,1.62245654816051e+65,1.6172106412980904e+65,0.0,True,True,PASS
1,5.85,4,3,0.75,1.0,165507682514454.4,OWNER_CORRECT,HeI,1.449773548682099e+64,1.3884120220731728e+63,6.167728658191468e+63,0.0,0.0,2.0665464145012457e+64,1.9277052122939284e+64,0.0,True,True,PASS
1,5.85,4,3,0.75,1.0,165507682514454.4,OWNER_CORRECT,HeII,4.209710015705337e+65,0.0,9.786636742003664e+61,1.3884120220731728e+63,6.167728658191468e+63,4.1628955130183548e+65,4.1628955130183548e+65,0.0,True,True,PASS
1,5.85,4,3,0.75,1.0,165507682514454.4,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,7.76095809441606e+64,4.0720647535955966e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
1,5.85,8,0,0.0,0.125,82753841257227.2,OWNER_CORRECT,HI,3.749247656263292e+62,1.220135280395006e+62,2.0360323767977983e+64,0.0,0.0,2.0735248533604312e+64,2.0613235005564812e+64,0.0,True,True,PASS
1,5.85,8,0,0.0,0.125,82753841257227.2,OWNER_CORRECT,HeI,4.243877658835477e+61,6.617507540198002e+62,3.083864329095734e+63,0.0,0.0,3.1263031056840888e+63,2.4645523516642885e+63,0.0,True,True,PASS
1,5.85,8,0,0.0,0.125,82753841257227.2,OWNER_CORRECT,HeII,4.351326991785062e+65,0.0,4.893318371001832e+61,6.617507540198002e+62,3.083864329095734e+63,4.3275951878714025e+65,4.3275951878714025e+65,0.0,True,True,PASS
1,5.85,8,0,0.0,0.125,82753841257227.2,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,3.749247656263292e+62,3.981490227613161e+64,2.0360323767977983e+64,0.0,0.0,2.0735248533604312e+64,0.0,1.9079653742527297e+64,False,True,CAPACITY_FAILURE
1,5.85,8,1,0.125,0.25,82753841257227.2,OWNER_CORRECT,HI,2.0613235005564812e+64,1.3772439042996579e+62,2.0360323767977983e+64,0.0,0.0,4.09735587735428e+64,4.083583438311283e+64,0.0,True,True,PASS
1,5.85,8,1,0.125,0.25,82753841257227.2,OWNER_CORRECT,HeI,2.4645523516642885e+63,6.663861733581363e+62,3.083864329095734e+63,0.0,0.0,5.5484166807600224e+63,4.8820305074018864e+63,0.0,True,True,PASS
1,5.85,8,1,0.125,0.25,82753841257227.2,OWNER_CORRECT,HeII,4.3275951878714025e+65,0.0,4.893318371001832e+61,6.663861733581363e+62,3.083864329095734e+63,4.303909738151126e+65,4.303909738151126e+65,0.0,True,True,PASS
1,5.85,8,1,0.125,0.25,82753841257227.2,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,4.0386071279405866e+64,2.0360323767977983e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
1,5.85,8,2,0.25,0.375,82753841257227.2,OWNER_CORRECT,HI,4.083583438311283e+64,1.5579980700943913e+62,2.0360323767977983e+64,0.0,0.0,6.119615815109082e+64,6.104035834408138e+64,0.0,True,True,PASS
1,5.85,8,2,0.25,0.375,82753841257227.2,OWNER_CORRECT,HeI,4.8820305074018864e+63,6.720869774584004e+62,3.083864329095734e+63,0.0,0.0,7.96589483649762e+63,7.29380785903922e+63,0.0,True,True,PASS
1,5.85,8,2,0.25,0.375,82753841257227.2,OWNER_CORRECT,HeII,4.303909738151126e+65,0.0,4.893318371001832e+61,6.720869774584004e+62,3.083864329095734e+63,4.280281296471852e+65,4.280281296471852e+65,0.0,True,True,PASS
1,5.85,8,2,0.25,0.375,82753841257227.2,INVALID_UNSPLIT_G1_G2A_TO_RESOLVED_H,INVALID_HI,,4.049880045328221e+64,2.0360323767977983e+64,0.0,0.0,,0.0,,False,False,UNREACHABLE_AFTER_PRIOR_CAPACITY_FAILURE
