shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,model,refinement,combined_error,cone_pass,error_M,error_I,error_U,error_C,error_J_G1,error_J_G2a,minimum_M,minimum_I,minimum_neutral,minimum_U,minimum_C,minimum_J_G1,minimum_J_G2a,minimum_cycling
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.26426236347228399e-05,True,2.49670199120041104e-08,7.92842818928986299e-06,2.26426236347228399e-05,2.95148479225242029e-07,2.50103174150925284e-06,7.93821572326595505e-07,4.62795452468945050e-144,4.62556718488028748e-144,2.38733540295555351e-147,3.62344617524723476e-155,1.11293600818499395e-160,2.51599094959896547e-162,6.03712637906558749e-163,1.08169706733293582e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,8,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.17430687578845035e-05,True,1.24839747701966823e-08,4.01228877109809799e-06,1.17430687578845035e-05,1.56403763552885426e-08,1.25344842926263015e-06,3.97200120935292240e-07,4.62769587408959211e-144,4.62530355750974004e-144,2.37739032723573235e-147,3.62323230828811394e-155,1.11287801867593097e-160,2.51598302485736799e-162,6.03712047269162207e-163,1.08163202894720509e-160
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,4.18719490529538457e-05,False,4.99303212032066360e-08,1.54875160629407863e-05,4.18719490529538457e-05,3.27285864482653681e-06,2.35601648596915472e-06,6.78877284392458260e-07,2.13658869683821348e-144,2.13547797689833590e-144,1.11071993987758125e-147,1.67281248544370561e-155,5.13767310388897327e-161,1.17566130421130632e-162,2.69157880654453249e-163,-4.34426855147532677e+41
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.23980153368853276e-05,True,2.49670198146484298e-08,7.92842818927747090e-06,2.23980153368853276e-05,2.88163494234433179e-07,1.18060592990569293e-06,3.39649556314500929e-07,2.13634994099911100e-144,2.13524790051162554e-144,1.10203845349860391e-147,1.67264965784430233e-155,5.13748552524570997e-161,1.17565781460169454e-162,2.69157656215399798e-163,4.99280928645506095e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,9,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.16113741899907361e-05,True,1.24839746727103253e-08,4.01228877108265488e-06,1.16113741899907361e-05,1.55587740946006477e-08,5.90954808919565125e-07,1.69877562152359449e-07,2.13623054306838409e-144,2.13512620521092413e-144,1.09744762145509793e-147,1.67255105700063292e-155,5.13721733423141083e-161,1.17565606401998601e-162,2.69157543891251426e-163,4.99250850623566425e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,5.30427024370231170e-05,False,4.99303210305833331e-08,1.63788837110342183e-05,5.30427024370231170e-05,2.98390282985492636e-06,4.74044365931286649e-06,2.18470276249362040e-06,4.62022229357637000e-144,4.61782069946750426e-144,2.40159410886574164e-147,3.61736376031100120e-155,7.83233754553869763e-161,2.03422698490601160e-162,5.75491121862320682e-163,-1.65584844059934488e+41
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.89028103669336948e-05,True,2.49670200567023749e-08,8.39637730167804174e-06,2.89028103669336948e-05,2.37625254813482508e-07,2.38061535268221422e-06,1.09454937979831621e-06,4.61970600092155242e-144,4.61732429609515155e-144,2.38166819098362267e-147,3.61702948504892570e-155,7.83207865786338511e-161,2.03421424244684668e-162,5.75489458858747895e-163,7.57073380506014381e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,8,1.51472672554753093e-05,True,1.24839749175183071e-08,4.25219062915531569e-06,1.51472672554753093e-05,1.08416138168351716e-08,1.19292537387201224e-06,5.47826059325907415e-07,4.61944781132138866e-144,4.61706079882458024e-144,2.37111004132180569e-147,3.61680665630901281e-155,7.83168490971017127e-161,2.03420782922982868e-162,5.75488624845067215e-163,7.57027709292755772e-161
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,2,5.30049861932212866e-05,False,4.99303212473848173e-08,1.63788837110325615e-05,5.30049861932212866e-05,2.87518321250524255e-06,1.82506024521547904e-06,8.27319333274981665e-07,1.75150670580030413e-144,1.75059627164389233e-144,9.10434156411794420e-148,1.37132722890264113e-155,2.96918592022242758e-161,7.72321234113171672e-163,2.33560479596887880e-163,-3.24449823691405722e+41
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,TWO_MODE,4,2.88805929227685761e-05,True,2.49670198674156741e-08,8.39637730169133338e-06,2.88805929227685761e-05,2.29745112153911266e-07,9.14066117252876791e-07,4.13973321706984014e-07,1.75131098144125667e-144,1.75040808722759999e-144,9.02880325325415354e-148,1.37120047719494433e-155,2.96907912107589903e-161,7.72319367502933895e-163,2.33560225140525620e-163,2.86834652358957252e-161
