z,shape_lane,group,macro_index,species,q_macro_group,j_abs_s-1_cMpc-3,threshold_supported,micro_node_count
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,15,HeII,0.014814879460490545,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,16,HI,0.0014996344097065598,6.036389472639954e+47,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,16,HeI,0.0014996344097065598,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,16,HeII,0.0014996344097065598,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,17,HI,4.002353077578261e-05,1.6110434534513643e+46,True,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,17,HeI,4.002353077578261e-05,0.0,False,2560
5.95,RECOMBINATION_WEIGHTED_AUDITOR,G1,17,HeII,4.002353077578261e-05,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,0,HI,0.17484566410423003,7.037958847196882e+49,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,0,HeI,0.17484566410423003,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,0,HeII,0.17484566410423003,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,1,HI,0.017741188099224047,7.141255254021318e+48,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,1,HeI,0.017741188099224047,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,1,HeII,0.017741188099224047,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,2,HI,0.008346749439337452,3.3597675620312646e+48,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,2,HeI,0.008346749439337452,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,2,HeII,0.008346749439337452,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,3,HI,0.004119864793167366,1.658344747573625e+48,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,3,HeI,0.004119864793167366,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,3,HeII,0.004119864793167366,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,4,HI,0.00044865998382506516,1.805964430815093e+47,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,4,HeI,0.00044865998382506516,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,4,HeII,0.00044865998382506516,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,5,HI,1.143361672149499e-05,4.6023059463764585e+45,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,5,HeI,1.143361672149499e-05,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,5,HeII,1.143361672149499e-05,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,6,HI,0.20973951642091396,8.442520395137756e+49,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,6,HeI,0.20973951642091396,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,6,HeII,0.20973951642091396,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,7,HI,0.15393640242999418,6.196310734603035e+49,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,7,HeI,0.15393640242999418,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,7,HeII,0.15393640242999418,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,8,HI,0.0687330328384138,2.766670017458472e+49,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,8,HeI,0.0687330328384138,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,8,HeII,0.0687330328384138,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,9,HI,0.032124259036267075,1.293078751779413e+49,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,9,HeI,0.032124259036267075,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,9,HeII,0.032124259036267075,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,10,HI,0.0031258098112885054,1.2582136896971258e+48,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,10,HeI,0.0031258098112885054,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,10,HeII,0.0031258098112885054,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,11,HI,8.007128880345144e-05,3.2230621121080123e+46,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,11,HeI,8.007128880345144e-05,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,11,HeII,8.007128880345144e-05,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,12,HI,0.22151917177608307,8.91667987772247e+49,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,12,HeI,0.22151917177608307,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,12,HeII,0.22151917177608307,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,13,HI,0.06439970393306077,2.5922430983610516e+49,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,13,HeI,0.06439970393306077,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,13,HeII,0.06439970393306077,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,14,HI,0.024473935027696753,9.851347955143998e+48,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,14,HeI,0.024473935027696753,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,14,HeII,0.024473935027696753,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,15,HI,0.014814879460490558,5.96334558842471e+48,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,15,HeI,0.014814879460490558,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,15,HeII,0.014814879460490558,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,16,HI,0.0014996344097065607,6.036389472639958e+47,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,16,HeI,0.0014996344097065607,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,16,HeII,0.0014996344097065607,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,17,HI,4.0023530775782646e-05,1.6110434534513655e+46,True,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,17,HeI,4.0023530775782646e-05,0.0,False,2560
5.95,SCRIPT_SELF_SHIELDING_AUDITOR,G1,17,HeII,4.0023530775782646e-05,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,0,HI,0.19733828529381225,2.0550338828195441e+49,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,0,HeI,0.19733828529381225,1.3955955138381356e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,0,HeII,0.19733828529381225,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,1,HI,0.012759613330501754,1.070034236771877e+48,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,1,HeI,0.012759613330501754,2.6774521528807216e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,1,HeII,0.012759613330501754,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,2,HI,0.0056146441304249246,4.3787255264484035e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,2,HeI,0.0056146441304249246,1.5079383980422467e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,2,HeII,0.0056146441304249246,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,3,HI,0.002587593473158262,1.962473920443791e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,3,HeI,0.002587593473158262,7.504839796209106e+46,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,3,HeII,0.002587593473158262,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,4,HI,0.0002468841603113917,1.83543576374991e+46,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,4,HeI,0.0002468841603113917,7.530169436227412e+45,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,4,HeII,0.0002468841603113917,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,5,HI,6.202728963371972e-06,4.548698238149835e+44,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,5,HeI,6.202728963371972e-06,1.9545422119820746e+44,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,5,HeII,6.202728963371972e-06,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,6,HI,0.21864084800215627,2.2292750556348839e+49,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,6,HeI,0.21864084800215627,6.306113247705974e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,6,HeII,0.21864084800215627,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,7,HI,0.12647641820617886,1.2051824925765343e+49,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,7,HeI,0.12647641820617886,1.208573259021462e+48,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,7,HeII,0.12647641820617886,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,8,HI,0.05189033629481764,4.759728736633349e+48,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,8,HeI,0.05189033629481764,6.807045945041141e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,8,HeII,0.05189033629481764,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,9,HI,0.022540011771497285,2.0244164102400184e+48,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,9,HeI,0.022540011771497285,3.3878722423192862e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,9,HeII,0.022540011771497285,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,10,HI,0.001950654071896341,1.7052192587078642e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,10,HeI,0.001950654071896341,3.3994062809050737e+46,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,10,HeII,0.001950654071896341,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,11,HI,4.8590496982878076e-05,4.212094080252897e+45,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,11,HeI,4.8590496982878076e-05,8.823681691387222e+44,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,11,HeII,4.8590496982878076e-05,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,12,HI,0.2519889527097229,2.622885443057734e+49,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,12,HeI,0.2519889527097229,1.9088371895774484e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,12,HeII,0.2519889527097229,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,13,HI,0.06634307454662462,6.58917523658875e+48,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,13,HeI,0.06634307454662462,3.665529360506175e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,13,HeII,0.06634307454662462,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,14,HI,0.025543414401838632,2.471617572782936e+48,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,14,HeI,0.025543414401838632,2.064772908400329e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,14,HeII,0.025543414401838632,0.0,False,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,15,HI,0.014592194557138605,1.4271625655639831e+48,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,15,HeI,0.014592194557138605,1.027535481426863e+47,True,2560
5.95,LOCAL_NEUTRAL_HAZARD_PRIMARY,G2a,15,HeII,0.014592194557138605,0.0,False,2560
