history_provenance,interval_index,z_mid,sequence,level,delta_chi_cMpc,group,component,finite_cell_deposition_rate,differential_hazard_rate,relative_difference,observed_order
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G2a,EXPLICIT_HEI_ATOMIC,6.645646061960381e+48,6.654262600321941e+48,0.001294890039527935,0.9987281207522
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G2a,TOTAL_PHYSICAL,1.0470965911768802e+50,1.0484482706227906e+50,0.0012892190142175478,0.9987324252344437
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G2b,EXPLICIT_HI_ATOMIC,9.61378060236588e+47,9.614376044788035e+47,6.19325080880484e-05,0.9999380650670778
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G2b,EXPLICIT_HEI_ATOMIC,1.5469540154073354e+48,1.5470485527076108e+48,6.110816632737171e-05,0.9999387812466292
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G2b,TOTAL_PHYSICAL,2.5083320756439234e+48,2.508486157186414e+48,6.142411511786504e-05,0.9999385044832519
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G3,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G3,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G3,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G3,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,3,0.125,G3,TOTAL_PHYSICAL,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G1,EFFECTIVE_HI_SUBGRID,4.019927775734717e+50,4.025240782605081e+50,0.0013199227468138944,0.9986534779452237
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G1,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G1,EXPLICIT_HEI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G1,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G1,TOTAL_PHYSICAL,4.019927775734717e+50,4.025240782605081e+50,0.0013199227468138944,0.9986534779452237
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G2a,EFFECTIVE_HI_SUBGRID,9.8127260951907e+49,9.819056446195713e+49,0.0006447005412078503,0.9993661371816923
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G2a,EXPLICIT_HI_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G2a,EXPLICIT_HEI_ATOMIC,6.649952430972719e+48,6.654262600321941e+48,0.0006477305763397265,0.9993638375156921
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G2a,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G2a,TOTAL_PHYSICAL,1.0477721338287972e+50,1.0484482706227906e+50,0.0006448928506428198,0.9993659905845731
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G2b,EFFECTIVE_HI_SUBGRID,0.0,0.0,0.0,
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G2b,EXPLICIT_HI_ATOMIC,9.614078317186186e+47,9.614376044788035e+47,3.096691875397849e-05,0.9999690319836239
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G2b,EXPLICIT_HEI_ATOMIC,1.5470012830545548e+48,1.5470485527076108e+48,3.055473144215146e-05,0.9999693900746232
CANONICAL_DIRECT_REEVOLVED,0,5.95,STRESS_1_cMpc,4,0.0625,G2b,EXPLICIT_HEII_ATOMIC,0.0,0.0,0.0,
