shape_lane,interval_index,substep,z_mid,dt_Myr,macro_index,family,identifiability,status,usable,endpoint_changed,endpoint_previous,endpoint_target,evidence_secant_Myr_inv,evidence_start_process_Myr_inv,evidence_end_process_Myr_inv,k_min_Myr_inv,k_max_Myr_inv,a_lower_fast,a_upper_slow
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,16,U,PHYSICAL,IDENTIFIED_INTERVAL,True,True,6.83205060777676707e+51,3.55280774039739997e+51,5.59268185357486639e-02,1.16799640135062693e-01,2.14499836834863650e-01,5.59268185357486639e-02,2.14499836834863650e-01,1.09736512262689079e+00,2.13570521779376898e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,17,C,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,1.74471147717517649e+46,1.10486452477573052e+46,3.97688442815421206e-02,1.14682340214778589e+00,8.66196248681956149e+00,3.97688442815421206e-02,8.66196248681956149e+00,1.00000000000000000e+00,2.76406208211433402e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,17,I,PHYSICAL,IDENTIFIED_INTERVAL,True,True,6.02263901179587337e+61,3.15700542458752281e+61,5.52894039816150401e-02,1.43486153456617287e-02,1.08200869472661040e-01,1.43486153456617287e-02,1.08200869472661040e-01,1.41781230822911786e+00,6.68522938425249258e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,17,J_G1,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,9.87126630066100261e+45,6.84098711724807187e+45,3.21140248476249751e-02,6.25931479215826792e-06,2.83960181620284799e-06,2.83960181620284799e-06,3.21140248476249751e-02,3.28769761770367452e+00,3.11864995444471242e+04
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,17,J_G2a,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,4.94416018391902782e+45,2.99020197758522342e+45,4.36164544849652405e-02,3.03700812340252216e-06,1.54003590288852684e-06,1.54003590288852684e-06,4.36164544849652405e-02,2.57120979688239304e+00,5.75029392451240565e+04
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,17,M,PHYSICAL,IDENTIFIED_INTERVAL,True,True,6.09926442346198047e+61,3.19740154048397829e+61,5.52836577867621692e-02,4.69578154740519192e-03,9.77325093541789036e-02,4.69578154740519192e-03,9.77325093541789036e-02,1.49625845878486530e+00,1.93630090730106055e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65000000000000036e+00,1.12923124578075225e+01,17,U,PHYSICAL,IDENTIFIED_INTERVAL,True,True,1.80554076981351772e+50,9.42619716076985119e+49,5.56129692654099006e-02,1.16719875445014498e-01,2.14532747477243185e-01,5.56129692654099006e-02,2.14532747477243185e-01,1.09732542382454135e+00,2.14435162025501169e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,5.65000000000000036e+00,1.12923124578075225e+01,0,C,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,1.48256420113625482e+49,1.69370308871760340e+49,1.17733023172354595e-02,8.53584431256213527e+00,1.72325999564721211e+00,1.17733023172354595e-02,8.53584431256213527e+00,1.00000000000000000e+00,8.03282438259280518e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,5.65000000000000036e+00,1.12923124578075225e+01,0,I,PHYSICAL,IDENTIFIED_INTERVAL,True,True,4.23623269670685057e+64,4.84906875869457184e+64,1.19468133967169498e-02,1.06607486746261360e-01,2.11923514369665930e-02,1.19468133967169498e-02,1.06607486746261360e-01,1.42864965436882341e+00,7.92374443151642804e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,5.65000000000000036e+00,1.12923124578075225e+01,0,J_G1,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,9.22649974452500309e+48,1.05097747409240829e+49,1.15160002340159232e-02,3.82979604883215479e-03,4.36246625387834343e-03,3.82979604883215479e-03,1.15160002340159232e-02,8.20064095293725082e+00,2.36264594057070170e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,5.65000000000000036e+00,1.12923124578075225e+01,0,J_G2a,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,3.96549681230836152e+48,4.45534577969082939e+48,1.03027641162309752e-02,2.04233945048644784e-03,2.29462508283385588e-03,2.04233945048644784e-03,1.03027641162309752e-02,9.10503884731598134e+00,4.38619132432668408e+01
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,5.65000000000000036e+00,1.12923124578075225e+01,0,M,PHYSICAL,IDENTIFIED_INTERVAL,True,True,4.29043828838805045e+64,4.90944424944274813e+64,1.19168002030191639e-02,9.77325093546900781e-02,1.11730970310876254e-02,1.11730970310876254e-02,9.77325093546900781e-02,1.49625845878057895e+00,8.43631930663316076e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,5.65000000000000036e+00,1.12923124578075225e+01,0,U,PHYSICAL,IDENTIFIED_INTERVAL,True,True,1.26485574928259006e+53,1.44619438822632999e+53,1.18467687612490349e-02,1.51703252269426409e-01,6.46902580804117472e-02,1.18467687612490349e-02,1.51703252269426409e-01,1.21997264289082374e+00,7.98624815128098842e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,5.65000000000000036e+00,1.12923124578075225e+01,1,C,NUISANCE_INTERVAL,IDENTIFIED_INTERVAL,True,True,4.35029265346991482e+48,4.97550675610657124e+48,1.18738020602776502e-02,8.53584431256232001e+00,1.72325999564726251e+00,1.18738020602776502e-02,8.53584431256232001e+00,1.00000000000000000e+00,7.96925486506086944e+00
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,5.65000000000000036e+00,1.12923124578075225e+01,1,I,PHYSICAL,IDENTIFIED_INTERVAL,True,True,1.24303905117557559e+64,1.42448664883629253e+64,1.20472998390749493e-02,1.06607486746261360e-01,2.11923514369665826e-02,1.20472998390749493e-02,1.06607486746261360e-01,1.42864965436882341e+00,7.86201124880737723e+00
