shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,family,k_min_Myr_inv,k_max_Myr_inv,selected_k_Myr_inv,two_mode_weight_slow,selected_model
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,0,5.95000000000000018e+00,1.01174195637656954e+01,U,1.06704450464764925e-03,5.95601640812895294e-02,5.95601640812895294e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,0,5.95000000000000018e+00,1.01174195637656954e+01,C,1.09414519655747769e-03,2.15796714892616537e+00,5.97712082810236602e-03,9.51797370269953480e-01,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,0,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,1.06669763227091479e-03,7.20136731219010728e-03,7.20136731219010728e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,0,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,1.00986237799977063e-03,3.76053360772526891e-03,3.76053360772526891e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,1,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,1.09065212787342290e-03,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,1,5.95000000000000018e+00,1.01174195637656954e+01,I,1.09145850477819170e-03,1.62836130244675970e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,1,5.95000000000000018e+00,1.01174195637656954e+01,U,1.07220101007632850e-03,5.05646222217262034e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,1,5.95000000000000018e+00,1.01174195637656954e+01,C,1.09930169423879147e-03,2.15796714892618091e+00,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,1,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,7.22862584627689255e-04,1.06669763227113727e-03,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,1,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,1.93816545352426387e-04,1.00986237799959239e-03,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,2,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,1.09145400472061968e-03,,,NONE
