shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,effective_HI_G2b,effective_HI_G3,primary_HeII_G3,exact_zero_pass
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,12,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,13,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,14,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,15,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,16,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,17,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,0,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,1,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,2,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,3,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,4,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,6,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,7,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,8,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,9,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,10,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,11,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,12,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,13,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,14,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,15,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,16,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,17,5.75000000000000000e+00,1.08804373309742832e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,0,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,1,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,2,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,3,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,4,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,6,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,7,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,8,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,9,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,10,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,11,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,12,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,13,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,14,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,15,5.65000000000000036e+00,1.12923124578075225e+01,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,True
