shape_lane,interval_index,substep,substeps_per_interval,z_mid,tau_Myr,macro_index,violated_constraints,M_eq_nonnegative,M_eq_mass_cap_slack,M_eq_volume_cap_slack,kappa_eq_G1,kappa_eq_G2a,cycling_eq_slack,m_eq_nonnegative,m_eq_upper_slack,k_eq_G1,k_eq_G2a,shape_cycling_slack
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,5,cycling_eq_slack,7.359336912331766e+60,2.695249849057692e+62,1.5512247824035174e+64,4.097408644176549e-07,9.537084914511782e-08,-2.192432200220477e+44,1.1822834923954392e-05,0.00040057340639214817,1.4534582050923428e-05,6.158576795589739e-06,6.974072804543269e-07
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,6,cycling_eq_slack,1.5099441618375457e+65,6.4962135221047e+65,2.4587598974770197e+67,0.006598184844212112,0.003998748215952727,-4.1357662291042415e+48,0.24187818604169717,0.9505726232211225,0.23405490477905133,0.2582193426494515,0.022498622683088998
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,7,cycling_eq_slack,1.0816731930428687e+65,1.4254560797411244e+66,4.7279964643087417e+67,0.005184099432209324,0.0023481735628795,-3.054404301848409e+48,0.17344929785847668,2.110755604780422,0.1838935900735249,0.15163341152978796,0.014046189419564231
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,8,cycling_eq_slack,4.809612629857873e+64,8.156164931577835e+65,2.6640155770390936e+67,0.0023946330092433233,0.0009430057199447664,-1.3760766754722407e+48,0.07715791134932254,1.20927042631253,0.08494390717939111,0.06089463601318405,0.0058401050656730485
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,9,cycling_eq_slack,2.2388866967651558e+64,4.0746280826239956e+65,1.3259794961693175e+67,0.001138155345914005,0.000412498503078465,-6.4526713672993e+47,0.03592621823724218,0.6043022137097283,0.04037335227814162,0.026637109054245885,0.002612410176279452
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,10,cycling_eq_slack,2.098393004542617e+63,4.102999933706007e+64,1.3305455591429008e+66,0.00011004768945886313,3.48517354805621e-05,-6.115391827017061e+46,0.003368476806052891,0.06086768788140683,0.0039036798885746372,0.0022505523578806147,0.0002295687691059537
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,11,cycling_eq_slack,5.358939566022983e+61,1.0658506665560903e+63,3.4536501904012353e+64,2.8299231751040357e-06,8.680472596712811e-07,-1.5656743696068136e+45,8.603267658105756e-05,0.0015812804851224683,0.00010038478989596982,5.6054190130491065e-05,5.774535259026544e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,12,cycling_eq_slack,1.1962076056583128e+65,8.60105460532699e+64,2.3520960685444358e+66,0.005044175909621543,0.003374540016210302,-3.2397467323408955e+48,0.19155028543038088,0.11472049721922933,0.17893013610415615,0.21791107058299355,0.01865265970620522
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,13,cycling_eq_slack,4.6492129202089e+64,3.4740591260121797e+65,4.688216971694975e+66,0.002057542324575303,0.0012019756528589944,-1.2786239235263954e+48,0.0744857812623107,0.5121926945532072,0.0729864173598862,0.07761763086850083,0.0068101001707399356
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,14,cycling_eq_slack,1.2992267498185082e+64,2.0884492518968707e+65,2.653521560111064e+66,0.0005741948066031359,0.00033678201108427726,-3.5715480801094074e+47,0.02081481608191896,0.3095932902632838,0.02036819427725058,0.021747713239710132,0.0019066534040250646
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,15,cycling_eq_slack,1.0696472926381702e+64,9.970725020693635e+64,1.3163715934674743e+66,0.0004834001031498704,0.00026522638363328505,-2.961822833734737e+47,0.017140843375436265,0.147296348837256,0.01714746824835834,0.017127005436815373,0.0015214321723762275
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,16,cycling_eq_slack,1.0653994358334902e+63,1.0011758946110995e+64,1.3208358085094906e+65,4.8955217790718295e-05,2.5505985659113574e-05,-2.966240243269854e+46,0.0017075876796531493,0.014790921340941121,0.0017365698459471538,0.0016470501504064962,0.00014788403660893467
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,100.0,17,cycling_eq_slack,2.8352466511083734e+61,2.5916613075188567e+62,3.427660954895853e+63,1.3027953315557097e-06,6.787706346736898e-07,-7.893767248603674e+44,4.54424128894953e-05,0.00038279270003113583,4.6213563953294145e-05,4.383164371207865e-05,3.935513844549317e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,0,cycling_eq_slack,6.899933365217729e+64,1.2902641292492174e+65,1.1030516068483566e+67,0.0036671183226717483,0.0030730442461305288,-1.2517669033638484e+49,0.1309212028149335,0.16402172871681472,0.12322560560978361,0.14188209611628444,0.014068100402695488
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,1,cycling_eq_slack,9.438418199894145e+63,3.6989075635932504e+65,2.1252291878371584e+67,0.0006465649057408277,0.0002917124791834278,-1.926680517029989e+48,0.01832004908277904,0.5466593068539248,0.021726419783994994,0.013468331301099288,0.0005465950311368158
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,2,cycling_eq_slack,4.476294522703659e+63,2.091559408740004e+65,1.1969796385495705e+67,0.0003180436703130814,0.0001282282794472869,-9.306186201208118e+47,0.008720883372673897,0.3094666193470922,0.010687171897997118,0.005920284776984298,0.00015084653685467318
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,3,cycling_eq_slack,2.160092285427656e+63,1.0416019550452435e+65,5.957184549925616e+66,0.00015751419334651136,5.8293833265897924e-05,-4.55054885990068e+47,0.004219832530070469,0.1541354212897077,0.005292924896167257,0.0026914195149754815,3.4406111255432664e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,4,cycling_eq_slack;shape_cycling_slack,2.219148649088931e+62,1.04455393987579e+64,5.976981785965197e+65,1.6918950036504964e-05,5.334689545350692e-06,-4.783957396898181e+46,0.00043561146123296645,0.015452677243093465,0.0005685248418739426,0.0002463019970431742,-3.4701191647444163e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,5,cycling_eq_slack;shape_cycling_slack,5.6407012359532794e+60,2.7124362058214767e+62,1.5513966459711552e+64,4.3254023291312923e-07,1.333894797447094e-07,-1.2196829553499611e+45,1.1079571977575907e-05,0.00040131666933852664,1.4534582050923428e-05,6.158576795589739e-06,-1.1186550978328172e-07
