interval_index,node_index,fraction,z_eval,group,global_kappa_cMpc_inv,global_current_s_inv_cMpc3,incident_flux_s_inv_cMpc2,q_sum_residual,kappa_moment_relative_residual,current_moment_relative_residual,common_flux_relative_residual,negative_measure_count,zero_support_nonzero_allocation_count,differential_vs_finite_TV,tau_min,tau_max,tau_weighted_mean,proper_cell_length_cm
0,11,0.777785116509801,5.92222148834902,G3,1.9198090938656776,0.0,0.0,0.0,1.156597318111084e-16,0.0,0.0,0,0,0.00909886730523815,3.2077605317136894e-05,1.4673752472132728,0.005601450476798076,1.3110707760188374e+21
0,12,0.8535533905932737,5.914644660940673,G1,0.0433839416999547,3.874409412369397e+50,8.930514979862797e+51,0.0,0.0,2.1442429256786162e-16,1.4884113612509022e-16,0,0,0.0002440698840960142,3.769135407304993e-09,0.08542901511457258,1.870927234465629e-05,1.3125074018292909e+21
0,12,0.8535533905932737,5.914644660940673,G2a,0.0215871113760321,1.2150215946478035e+50,5.628458451355501e+51,0.0,0.0,0.0,1.1808099920012717e-16,0,0,6.0836561075974274e-05,5.314706936030665e-09,0.021178402962295916,7.338583250556246e-06,1.3125074018292909e+21
0,12,0.8535533905932737,5.914644660940673,G2b,0.0009295992435441,3.171198399311588e+48,3.411360778674243e+51,0.0,0.0,0.0,1.94823720213711e-16,0,0,1.9773322640603963e-05,2.299261434843018e-09,0.006719826501784866,2.7063687447562286e-06,1.3125074018292909e+21
0,12,0.8535533905932737,5.914644660940673,G3,1.9198321534986345,0.0,0.0,0.0,1.1565834259020251e-16,0.0,0.0,0,0,0.009096836875022246,3.198599427033007e-05,1.466013428356907,0.005589262008853343,1.3125074018292909e+21
0,13,0.9157348061512728,5.908426519384873,G1,0.0440106391083992,3.850382928332905e+50,8.74875486095379e+51,0.0,6.938893903907228e-18,0.0,1.5193339131232708e-16,0,0,0.0002482704355139063,3.822164992764731e-09,0.08682710562284018,1.8994690175419577e-05,1.3136887644441655e+21
0,13,0.9157348061512728,5.908426519384873,G2a,0.0218573073619936,1.2387610419910479e+50,5.6674915234300875e+51,0.0,3.469446951953614e-18,1.6766096712855298e-16,1.1726775331641243e-16,0,0,6.156446445461124e-05,5.271064901624962e-09,0.021435401092763217,7.35926824199228e-06,1.3136887644441655e+21
0,13,0.9157348061512728,5.908426519384873,G2b,0.0009311209331199,3.2940543425129105e+48,3.537729875189839e+51,0.0,0.0,0.0,1.8786454063477468e-16,0,0,1.995632160341587e-05,2.2774677389995013e-09,0.0067888338975605565,2.705925587811758e-06,1.3136887644441655e+21
0,13,0.9157348061512728,5.908426519384873,G3,1.919851072154986,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.009095166582280293,3.1910916238851314e-05,1.4648974966816872,0.005579268982307395,1.3136887644441655e+21
0,14,0.9619397662556434,5.903806023374436,G1,0.0444740212044194,3.832841709619539e+50,8.61815865941681e+51,0.0,0.0,0.0,1.542357304286232e-16,0,0,0.00025139295858082254,3.8613388029689575e-09,0.08786479728541152,1.920607032913527e-05,1.3145679742125917e+21
0,14,0.9619397662556434,5.903806023374436,G2a,0.0220577594943491,1.2556773736695739e+50,5.692678687476221e+51,0.0,0.0,3.3080451825684695e-16,1.1674890405365675e-16,0,0,6.211377157030453e-05,5.241517577972504e-09,0.021628224531118533,7.376680794744744e-06,1.3145679742125917e+21
