interval_index,node_index,fraction,z_eval,group,macro_index,q_macro,kappa_macro_cMpc_inv,current_macro_s_inv_cMpc3,tau_weighted_macro
0,14,0.9619397662556434,5.903806023374436,G2b,12,0.04795576992958255,4.472280209127356e-05,1.623942668986378e+47,1.2979490384590123e-07
0,14,0.9619397662556434,5.903806023374436,G2b,13,0.09186190653071405,8.566897938522904e-05,3.1107512169800663e+47,2.486292544726742e-07
0,14,0.9619397662556434,5.903806023374436,G2b,14,0.05173518346634805,4.824742413099972e-05,1.7519262445834436e+47,1.4002409247781534e-07
0,14,0.9619397662556434,5.903806023374436,G2b,15,0.0257475169175379,2.401173216769557e-05,8.7189698766666e+46,6.968705720896009e-08
0,14,0.9619397662556434,5.903806023374436,G2b,16,0.0025833306589937892,2.4091738276363074e-06,8.748021127386437e+45,6.991925163095516e-09
0,14,0.9619397662556434,5.903806023374436,G2b,17,6.705290127055066e-05,6.253248853207697e-08,2.270635371144505e+44,1.814823301919776e-10
0,14,0.9619397662556434,5.903806023374436,G3,0,0.03603415240962699,0.06918071244844454,0.0,0.000200776863263599
0,14,0.9619397662556434,5.903806023374436,G3,1,0.06902539455475865,0.13251944760763743,0.0,0.000384599089405367
0,14,0.9619397662556434,5.903806023374436,G3,2,0.038874018469598315,0.07463287225100132,0.0,0.00021660016869695973
0,14,0.9619397662556434,5.903806023374436,G3,3,0.019346784550396408,0.0371432169006813,0.0,0.00010779736601290186
0,14,0.9619397662556434,5.903806023374436,G3,4,0.0019411247244561487,0.003726697657894405,0.0,1.0815654242379277e-05
0,14,0.9619397662556434,5.903806023374436,G3,5,5.0383811320944145e-05,9.6730122119362e-05,0.0,2.8073099878385326e-07
0,14,0.9619397662556434,5.903806023374436,G3,6,0.14510155066978836,0.27857540642549394,0.0,0.0008084839589672442
0,14,0.9619397662556434,5.903806023374436,G3,7,0.2779499756684608,0.5336264642271626,0.0,0.0015486953494706869
0,14,0.9619397662556434,5.903806023374436,G3,8,0.15653706230086673,0.30053004636976854,0.0,0.0008722009052964416
0,14,0.9619397662556434,5.903806023374436,G3,9,0.07790521632990689,0.1495675077322831,0.0,0.0004340761172562498
0,14,0.9619397662556434,5.903806023374436,G3,10,0.007816479332168396,0.015006586054553161,0.0,4.3552244111013005e-05
0,14,0.9619397662556434,5.903806023374436,G3,11,0.00020288444884774043,0.00038951077734374203,0.0,1.1304415539334484e-06
0,14,0.9619397662556434,5.903806023374436,G3,12,0.03689386790911496,0.07083125025162201,0.0,0.00020556706838134668
0,14,0.9619397662556434,5.903806023374436,G3,13,0.07067222672892516,0.13568114326226932,0.0,0.00039377498993695235
0,14,0.9619397662556434,5.903806023374436,G3,14,0.03980148849375148,0.07641348960300959,0.0,0.00022176789180873574
0,14,0.9619397662556434,5.903806023374436,G3,15,0.019808366950175148,0.03802939285141144,0.0,0.00011036923353768097
