interval_index,node_index,fraction,z_mid,thermal_photoheat_erg_cm-3_s-1,thermal_photoheat_H_erg_cm-3_s-1,thermal_photoheat_HeI_erg_cm-3_s-1,thermal_photoheat_HeII_erg_cm-3_s-1,thermal_threshold_H_erg_cm-3_s-1,thermal_threshold_HeI_erg_cm-3_s-1,thermal_threshold_HeII_erg_cm-3_s-1,thermal_recombination_cooling_erg_cm-3_s-1,thermal_excitation_cooling_erg_cm-3_s-1,thermal_collisional_ionization_cooling_erg_cm-3_s-1,thermal_free_free_cooling_erg_cm-3_s-1,thermal_cooling_total_erg_cm-3_s-1,thermal_expansion_work_erg_cm-3_s-1,thermal_thermal_rhs_erg_cm-3_s-1
1,14,0.9619397662556434,5.85,8.637033442370062e-33,7.103218982863288e-33,1.533814459506774e-33,0.0,1.4644283742271552e-32,3.630495875322775e-33,0.0,1.0738854642186329e-33,5.160710461534101e-35,8.501354194897549e-37,9.181489874026945e-34,2.044491691656158e-33,1.6681375415802184e-32,-1.0088833665088279e-32
1,15,0.9903926402016152,5.85,8.700789628983601e-33,7.155644648523772e-33,1.5451449804598286e-33,0.0,1.464839622142697e-32,3.6352579571681736e-33,0.0,1.0738515929622085e-33,5.216834869754429e-35,8.578982678853885e-37,9.178897375935172e-34,2.0447675775211557e-33,1.6673023414987222e-32,-1.0017001363524775e-32
1,16,1.0,5.85,8.722294617383617e-33,7.173314387484632e-33,1.5489802298989857e-33,0.0,1.4649802768977987e-32,3.6368476507797045e-33,0.0,1.0738401844152412e-33,5.235744356818176e-35,8.605081329638273e-37,9.178025982548808e-34,2.044860734371268e-33,1.6670216758798e-32,-9.992782875785651e-33
2,0,0.0,5.75,7.98564426772545e-33,6.567484753936482e-33,1.4181595137889689e-33,0.0,1.341253863085971e-32,3.329693947411224e-33,0.0,9.84890713140235e-34,6.863321011050603e-35,1.3102853933843294e-36,8.611682968570983e-34,1.916002505501224e-33,1.6308982275399538e-32,-1.0239340513175316e-32
2,1,0.0096073597983847,5.75,7.863133725693339e-33,6.469429426752392e-33,1.393704298940948e-33,0.0,1.3192427110476023e-32,3.26458412489114e-33,0.0,9.848846357716673e-34,6.762924796701073e-35,1.2903406188793108e-36,8.610840997066158e-34,1.9148883240641734e-33,1.6306048100121602e-32,-1.0357802698492436e-32
2,2,0.0380602337443566,5.75,7.78509061877586e-33,6.393611055593374e-33,1.3914795631824873e-33,0.0,1.2979369348736428e-32,3.2367664152105575e-33,0.0,9.848588751119733e-34,6.689531636224037e-35,1.2740452807704718e-36,8.608264450000917e-34,1.913854681755076e-33,1.6297271172148494e-32,-1.0426035235127712e-32
2,3,0.0842651938487273,5.75,7.833101794463301e-33,6.424735470452281e-33,1.4083663240110199e-33,0.0,1.294646710062069e-32,3.239322999238665e-33,0.0,9.848119519715008e-34,6.732049049807263e-35,1.278410331760495e-36,8.604044492457046e-34,1.9138153020470386e-33,1.62830329450172e-32,-1.0363746452600938e-32
2,4,0.1464466094067262,5.75,7.925971607436057e-33,6.493368835397022e-33,1.432602772039037e-33,0.0,1.295273421484221e-32,3.2456410375659955e-33,0.0,9.847481378542657e-34,6.818744432745368e-35,1.2898393642680478e-36,8.598404954654555e-34,1.9140659170114426e-33,1.6264039106515651e-32,-1.0252133416091036e-32
2,5,0.2222148834901988,5.75,8.043762357440768e-33,6.581126713334625e-33,1.4626356441061426e-33,0.0,1.296249638346877e-32,3.2534798761112246e-33,0.0,9.846705779857285e-34,6.931266258626228e-35,1.3049774304040866e-36,8.591610554476196e-34,1.914449273450014e-33,1.6241178210280455e-32,-1.01118651262897e-32
2,6,0.3086582838174551,5.75,8.182928670269902e-33,6.685392881885924e-33,1.497535788383979e-33,0.0,1.2973014957710742e-32,3.2624690203779686e-33,0.0,9.84582418172492e-34,7.067760178895717e-35,1.323648634008277e-36,8.583966054865045e-34,1.9149802740819626e-33,1.621548623142129e-32,-9.947537835233351e-33
2,7,0.4024548389919358,5.75,8.340170854681232e-33,6.803957868692766e-33,1.5362129859884664e-33,0.0,1.2983539028339582e-32,3.272283213004997e-33,0.0,9.84487162625518e-34,7.226642078189134e-35,1.3457632266335806e-36,8.575804502707084e-34,1.9156797969047512e-33,1.6188092463470102e-32,-9.763601405693623e-33
2,8,0.4999999999999999,5.75,8.511272399949834e-33,6.933887076710273e-33,1.5773853232395614e-33,0.0,1.2993387508641616e-32,3.282566127655945e-33,0.0,9.843885519064057e-34,7.405174347297555e-35,1.3710473618541093e-36,8.567469047396609e-34,1.9165582474808964e-33,1.6160155813653908e-32,-9.565441661184969e-33
2,9,0.5975451610080641,5.75,8.690936257699324e-33,7.071342827922465e-33,1.619593429776858e-33,0.0,1.3001976094220148e-32,3.292938350924112e-33,0.0,9.842904048183975e-34,7.598995408395302e-35,1.3989549376421464e-36,8.559294922564089e-34,1.9176088060964017e-33,1.6132803008261476e-32,-9.359475556658554e-33
2,10,0.6913417161825448,5.75,8.872686938902252e-33,7.211458607485823e-33,1.6612283314164278e-33,0.0,1.3008886942848085e-32,3.3030078849944456e-33,0.0,9.841964650166576e-34,7.801694987638423e-35,1.4285879733938438e-36,8.551593409338718e-34,1.9188013438003077e-33,1.6107074190673494e-32,-9.15318859557155e-33
2,11,0.777785116509801,5.75,9.048882868302668e-33,7.348305441930815e-33,1.7005774263718546e-33,0.0,1.3013927305211169e-32,3.3123820106381975e-33,0.0,9.841102615003869e-34,8.004547513416464e-35,1.4586443748537284e-36,8.5446391016518e-34,1.920078291174585e-33,1.6083880401719439e-32,-8.955075824591357e-33
2,12,0.8535533905932737,5.75,9.210924440633819e-33,7.475030697350449e-33,1.7358937432833708e-33,0.0,1.3017160137195776e-32,3.320681219957588e-33,0.0,9.840349881728634e-34,8.196592995450348e-35,1.4874253794751825e-36,8.538661470243825e-34,1.921354490531225e-33,1.6063976313827228e-32,-8.774406363724635e-33
2,13,0.9157348061512728,5.75,9.349738916753944e-33,7.58424782658127e-33,1.7654910901726728e-33,0.0,1.301888801431151e-32,3.327555675618152e-33,0.0,9.839734034784173e-34,8.365263826305141e-35,1.512936540298027e-36,8.533841188205025e-34,1.9225230971022693e-33,1.6047949751553434e-32,-8.620733931901758e-33
2,14,0.9619397662556434,5.75,9.456573243940664e-33,7.668711547616064e-33,1.7878616963246004e-33,0.0,1.3019577822737475e-32,3.3327038871499044e-33,0.0,9.839277478423318e-34,8.497666000903024e-35,1.5331008782280386e-36,8.530310922229335e-34,1.923468600952524e-33,1.603622689112437e-32,-8.503122248136227e-33
2,15,0.9903926402016152,5.75,9.52402260850512e-33,7.722218418710429e-33,1.801804189794688e-33,0.0,1.301973162769775e-32,3.3358921184277576e-33,0.0,9.838996760871789e-34,8.582409479185093e-35,1.546066502411605e-36,8.528159406652856e-34,1.9240857780467268e-33,1.6029088880060242e-32,-8.42915204960185e-33
2,16,1.0,5.75,9.5470944727331e-33,7.740553057847e-33,1.806541414886101e-33,0.0,1.3019734746178447e-32,3.3369718577641725e-33,0.0,9.838902045370968e-34,8.611600669384278e-35,1.5505429858207925e-36,8.52743684829606e-34,1.9243004390463658e-33,1.602669281776715e-32,-8.403898784080416e-33
3,0,0.0,5.65,8.729280619645291e-33,7.077489385506877e-33,1.6517912341384144e-33,0.0,1.1904450984258652e-32,3.051123443836997e-33,0.0,9.011269373011184e-34,1.122226746163243e-34,2.344786887889244e-36,7.993640123742931e-34,1.815058411179625e-33,1.567438572500478e-32,-8.760163516539112e-33
3,1,0.0096073597983847,5.65,8.690961220056345e-33,7.064280534164281e-33,1.6266806858920656e-33,0.0,1.1999135252332945e-32,3.011063326429285e-33,0.0,9.011237345115201e-34,1.1057989934004544e-34,2.309234079800896e-36,7.992948692833587e-34,1.813307737214725e-33,1.567184948339862e-32,-8.794196000556999e-33
