# z zre gamma density mfp_13.6eV mfp_14.48eV mfp_16.7eV mfp_20.05eV mfp_25.5eV mfp_39.5eV
4.880000 12.000000 1.000000 0.000000 180.786900 208.217900 281.209600 402.981500 620.957900 1038.058000
4.890000 12.000000 1.000000 0.000000 180.414031 207.891735 281.021848 403.189568 622.191106 1038.540176
4.910000 12.000000 1.000000 0.000000 177.505200 204.581400 276.769300 398.040500 618.167800 1047.777000
4.920000 12.000000 1.000000 0.000000 176.468830 203.431234 275.309447 395.739667 612.811704 1029.911174
4.930000 12.000000 1.000000 0.000000 175.463600 202.264500 273.717100 393.523800 609.414100 1023.631000
4.940000 12.000000 1.000000 0.000000 173.778029 200.294334 270.990446 389.661166 604.103502 1015.817171
4.950000 12.000000 1.000000 0.000000 172.914629 199.437534 270.178045 388.799365 602.901001 1015.674171
4.960000 12.000000 1.000000 0.000000 172.433000 198.775500 269.008800 387.065600 601.174500 1014.888000
4.970000 12.000000 1.000000 0.000000 170.464129 196.588933 266.278845 383.297264 595.298300 1008.879169
4.980000 12.000000 1.000000 0.000000 170.658229 196.823933 266.575845 383.667364 595.681100 1005.820168
5.000000 12.000000 1.000000 0.000000 169.281900 195.389300 265.072100 382.303000 595.230900 1011.551000
5.010000 12.000000 1.000000 0.000000 167.556828 193.472132 262.740344 379.640663 592.170799 1003.392167
5.020000 12.000000 1.000000 0.000000 166.238200 191.961000 260.829000 377.470200 591.355700 1012.672000
5.030000 12.000000 1.000000 0.000000 164.620827 190.207132 258.710943 374.749962 587.553397 1008.511167
5.040000 12.000000 1.000000 0.000000 164.904900 190.554400 259.233100 375.615800 589.707200 1017.530000
5.050000 12.000000 1.000000 0.000000 162.438300 187.801700 255.804400 371.486500 585.628400 1016.969000
5.060000 12.000000 1.000000 0.000000 161.792700 186.829300 253.806500 367.318100 576.090800 991.498800
5.070000 12.000000 1.000000 0.000000 160.827900 185.801800 252.672200 366.239400 576.320900 999.171100
5.080000 12.000000 1.000000 0.000000 160.857200 186.059200 253.647000 368.483500 580.092500 1003.525000
5.090000 12.000000 1.000000 0.000000 159.439026 184.416930 251.498441 366.237360 580.460995 1015.111167
5.110000 12.000000 1.000000 0.000000 157.925200 182.676100 249.055800 362.127200 571.716400 997.070100
5.120000 12.000000 1.000000 0.000000 157.357000 182.027700 248.215300 361.087500 570.696000 994.710000
5.130000 12.000000 1.000000 0.000000 156.838600 181.392700 247.246800 359.560500 569.092200 999.380900
5.140000 12.000000 1.000000 0.000000 154.352800 178.504200 243.372800 354.459900 561.979700 982.425400
5.150000 12.000000 1.000000 0.000000 153.564100 177.741400 242.740300 354.185200 562.847700 990.283100
5.160000 12.000000 1.000000 0.000000 152.664600 176.625300 240.971600 351.111400 557.004500 978.422200
5.170000 12.000000 1.000000 0.000000 152.350925 176.320729 240.659339 350.537557 555.729690 977.802858
5.190000 12.000000 1.000000 0.000000 151.287924 175.032528 238.782039 348.012156 553.132489 976.444358
5.200000 12.000000 1.000000 0.000000 150.107500 173.716600 237.173700 346.072900 550.770600 971.361300
5.210000 12.000000 1.000000 0.000000 148.342900 171.753100 234.728800 343.089100 547.749200 972.274600
5.220000 12.000000 1.000000 0.000000 147.201200 170.514600 233.232400 341.037100 544.195900 965.369700
5.230000 12.000000 1.000000 0.000000 146.205800 169.164000 230.830700 336.505100 534.986100 942.697000
5.240000 12.000000 1.000000 0.000000 145.714700 168.777800 230.838800 337.512500 537.997700 950.038700
5.250000 12.000000 1.000000 0.000000 144.110900 166.814600 227.830100 332.388900 528.675500 934.387400
5.270000 12.000000 1.000000 0.000000 143.839723 166.598127 227.839736 333.217553 532.368885 947.360051
5.280000 12.000000 1.000000 0.000000 142.457300 165.111000 226.174800 331.479200 530.804600 946.236500
5.290000 12.000000 1.000000 0.000000 141.740700 164.080300 224.079100 326.876700 519.737500 918.257600
5.300000 12.000000 1.000000 0.000000 139.734700 161.799200 221.214400 323.592900 517.384300 923.490000
5.310000 12.000000 1.000000 0.000000 138.950400 160.939500 220.131000 322.019100 514.322800 912.607500
5.320000 12.000000 1.000000 0.000000 139.396722 161.581126 221.309835 324.352151 519.736282 929.034447
5.330000 12.000000 1.000000 0.000000 137.738622 159.650325 218.710435 320.803951 515.192781 926.454646
5.340000 12.000000 1.000000 0.000000 137.093600 158.872500 217.527800 318.845000 511.404700 916.974500
5.350000 12.000000 1.000000 0.000000 136.318600 157.916200 216.070600 316.601300 508.462900 915.829600
5.360000 12.000000 1.000000 0.000000 135.082421 156.638925 214.799334 315.444950 506.868780 908.690043
5.370000 12.000000 1.000000 0.000000 134.319721 155.734924 213.545333 313.797849 505.383179 913.166543
5.390000 12.000000 1.000000 0.000000 132.641600 153.720500 210.588300 309.350100 499.135500 904.289300
5.400000 12.000000 1.000000 0.000000 132.891500 154.191700 211.719000 311.650400 503.077300 909.102100
5.410000 12.000000 1.000000 0.000000 130.757420 151.669724 208.131632 306.197148 494.234877 895.301740
5.420000 12.000000 1.000000 0.000000 130.894920 151.892924 208.610832 307.301348 496.834577 897.252040
5.430000 12.000000 1.000000 0.000000 129.910400 150.659400 206.599300 303.497100 488.451900 877.945500
5.440000 12.000000 1.000000 0.000000 128.535200 148.975600 204.067500 299.538000 482.351900 871.285500
5.460000 12.000000 1.000000 0.000000 127.723100 148.115700 203.151700 298.614300 481.471800 871.863000
5.470000 12.000000 1.000000 0.000000 127.054220 147.312823 201.923231 296.392546 476.604574 859.787333
5.480000 12.000000 1.000000 0.000000 125.822700 145.929300 200.176800 294.293500 474.643600 860.196100
5.490000 12.000000 1.000000 0.000000 125.039519 145.062222 199.114231 292.934545 472.842473 854.544332
5.500000 12.000000 1.000000 0.000000 124.520600 144.372600 197.919000 290.709900 468.030800 842.958200
5.510000 12.000000 1.000000 0.000000 123.720219 143.556522 197.150030 290.280845 468.784272 848.122930
5.520000 12.000000 1.000000 0.000000 122.594500 142.246400 195.298100 287.255700 462.714100 833.850800
5.530000 12.000000 1.000000 0.000000 121.859000 141.352400 194.007000 285.595600 461.644700 838.447000
5.540000 12.000000 1.000000 0.000000 120.536518 139.848721 192.018129 282.873243 457.977070 832.999327
