source,z,mode,energy_eV,lambda_density_cMpc,lambda_mean_cMpc,density_effect,central_gamma12,zre_max,Q_numeric_mass,Q_at_z
PUBLIC_REPO_EXACT_CHECKPOINT,5.0,public_continuous_joint,20.05,139.03977882948675,153.8844670061689,-0.09646644957406303,0.557,18.0,0.8600787384930872,0.8742037906117484
PUBLIC_REPO_EXACT_CHECKPOINT,5.0,public_continuous_joint,25.5,185.97889195953815,215.08347871994212,-0.135317630780469,0.557,18.0,0.8600787384930872,0.8742037906117484
PUBLIC_REPO_EXACT_CHECKPOINT,5.0,public_continuous_joint,39.5,264.01405165632707,323.24447699619066,-0.18323723854549134,0.557,18.0,0.8600787384930872,0.8742037906117484
PUBLIC_REPO_EXACT_CHECKPOINT,5.1,public_continuous_joint,13.6,66.05708956823283,66.90736306355971,-0.012708220088111344,0.508,18.0,0.8446504683617319,0.8600795598806641
PUBLIC_REPO_EXACT_CHECKPOINT,5.1,public_continuous_joint,14.48,73.61731376310003,75.34580592426977,-0.022940788010245017,0.508,18.0,0.8446504683617319,0.8600795598806641
PUBLIC_REPO_EXACT_CHECKPOINT,5.1,public_continuous_joint,16.7,92.90695714598276,97.6911979394136,-0.04897309987331655,0.508,18.0,0.8446504683617319,0.8600795598806641
PUBLIC_REPO_EXACT_CHECKPOINT,5.1,public_continuous_joint,20.05,121.45975044880439,132.59452863646118,-0.08397615121952262,0.508,18.0,0.8446504683617319,0.8600795598806641
PUBLIC_REPO_EXACT_CHECKPOINT,5.1,public_continuous_joint,25.5,163.82060765689062,186.83645753513937,-0.12318714549552001,0.508,18.0,0.8446504683617319,0.8600795598806641
PUBLIC_REPO_EXACT_CHECKPOINT,5.1,public_continuous_joint,39.5,235.56968014624408,283.93732059782934,-0.17034618890446418,0.508,18.0,0.8446504683617319,0.8600795598806641
PUBLIC_REPO_EXACT_CHECKPOINT,5.2,public_continuous_joint,13.6,60.69917559916979,61.1895492782011,-0.008014010314110975,0.502,18.0,0.8278614855875921,0.8446512897493085
PUBLIC_REPO_EXACT_CHECKPOINT,5.2,public_continuous_joint,14.48,67.69914959935015,68.91444959460216,-0.01763490824349845,0.502,18.0,0.8278614855875921,0.8446512897493085
