interval_index,substep,quantity,shape_a,shape_b,total_variation,l1_distance,same_global_sum_by_construction
1,2,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.82442810217519e-06,7.64885620435038e-06,True
1,2,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,5.501833713865603e-06,1.1003667427731205e-05,True
1,2,G2a_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.9504650946977608e-06,3.9009301893955215e-06,True
2,1,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,7.717779649582518e-07,1.5435559299165037e-06,True
2,1,MASS,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,1.1666623211288805e-06,2.333324642257761e-06,True
2,1,MASS,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.992990164191038e-07,7.985980328382076e-07,True
2,1,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,3.071917449148226e-16,6.143834898296452e-16,True
2,1,G1_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,4.716990957987638e-16,9.433981915975276e-16,True
2,1,G1_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,3.397347507483328e-16,6.794695014966656e-16,True
2,1,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.4041199096875567e-06,4.808239819375113e-06,True
2,1,G2a_CURRENT,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.6342008207779353e-06,7.2684016415558705e-06,True
2,1,G2a_CURRENT,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.2438327582860874e-06,2.4876655165721748e-06,True
2,1,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,1.1002957984833361e-16,2.2005915969666723e-16,True
2,1,G1_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.6577762574461353e-16,7.315552514892271e-16,True
2,1,G1_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,2.5675770916940704e-16,5.135154183388141e-16,True
2,1,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,RECOMBINATION_WEIGHTED_AUDITOR,2.4041199077942593e-06,4.808239815588519e-06,True
2,1,G2a_OPACITY,LOCAL_NEUTRAL_HAZARD_PRIMARY,SCRIPT_SELF_SHIELDING_AUDITOR,3.6342008184527646e-06,7.268401636905529e-06,True
2,1,G2a_OPACITY,RECOMBINATION_WEIGHTED_AUDITOR,SCRIPT_SELF_SHIELDING_AUDITOR,1.243832758801373e-06,2.487665517602746e-06,True
