s,time_s,node_a_baseline_J,node_b_baseline_J,partition_shape_f,node_a_redistributed_J,node_b_redistributed_J,baseline_pointwise_total_J,redistributed_pointwise_total_J
0.107,68326236639855.35,1.0974689794371178e+48,1.0553741090150962e+48,0.095551,1.1377575789817857e+48,1.0150855094704283e+48,2.152843088452214e+48,2.152843088452214e+48
0.108,68964799599106.336,1.097481259750371e+48,1.0553859002060052e+48,0.096336,1.1381008506048374e+48,1.0147663093515388e+48,2.1528671599563762e+48,2.1528671599563762e+48
0.109,69603362558357.32,1.0974935400636245e+48,1.055397691396914e+48,0.097119,1.1384432789379282e+48,1.0144479525226102e+48,2.1528912314605384e+48,2.1528912314605384e+48
0.11,70241925517608.31,1.0975058203768776e+48,1.055409482587823e+48,0.0979,1.1387848639810574e+48,1.0141304389836432e+48,2.1529153029647007e+48,2.1529153029647007e+48
0.111,70880488476859.3,1.097518100690131e+48,1.0554212737787319e+48,0.098679,1.1391256057342256e+48,1.0138137687346373e+48,2.152939374468863e+48,2.152939374468863e+48
0.112,71519051436110.28,1.0975303810033843e+48,1.0554330649696409e+48,0.099456,1.1394655041974324e+48,1.0134979417755927e+48,2.152963445973025e+48,2.152963445973025e+48
0.113,72157614395361.27,1.0975426613166377e+48,1.0554448561605498e+48,0.100231,1.139804559370678e+48,1.0131829581065095e+48,2.1529875174771874e+48,2.1529875174771874e+48
0.114,72796177354612.25,1.097554941629891e+48,1.0554566473514588e+48,0.10100400000000001,1.1401427712539623e+48,1.0128688177273875e+48,2.1530115889813496e+48,2.1530115889813496e+48
0.115,73434740313863.23,1.0975672219431444e+48,1.0554684385423678e+48,0.101775,1.1404801398472854e+48,1.0125555206382268e+48,2.1530356604855122e+48,2.1530356604855122e+48
0.116,74073303273114.22,1.0975795022563976e+48,1.0554802297332766e+48,0.10254400000000001,1.1408166651506469e+48,1.0122430668390272e+48,2.153059731989674e+48,2.153059731989674e+48
0.117,74711866232365.2,1.0975917825696508e+48,1.0554920209241855e+48,0.103311,1.1411523471640474e+48,1.011931456329789e+48,2.1530838034938364e+48,2.1530838034938364e+48
0.11800000000000001,75350429191616.19,1.0976040628829043e+48,1.0555038121150945e+48,0.104076,1.1414871858874866e+48,1.0116206891105122e+48,2.1531078749979986e+48,2.1531078749979986e+48
0.11900000000000001,75988992150867.17,1.0976163431961575e+48,1.0555156033060035e+48,0.104839,1.1418211813209645e+48,1.0113107651811965e+48,2.1531319465021608e+48,2.1531319465021608e+48
0.12,76627555110118.16,1.097628623509411e+48,1.0555273944969123e+48,0.1056,1.1421543334644814e+48,1.0110016845418419e+48,2.153156018006323e+48,2.153156018006323e+48
0.121,77266118069369.14,1.0976409038226641e+48,1.0555391856878212e+48,0.106359,1.1424866423180365e+48,1.0106934471924488e+48,2.1531800895104853e+48,2.1531800895104853e+48
0.122,77904681028620.12,1.0976531841359175e+48,1.0555509768787304e+48,0.107116,1.1428181078816308e+48,1.010386053133017e+48,2.153204161014648e+48,2.153204161014648e+48
0.123,78543243987871.11,1.0976654644491708e+48,1.0555627680696393e+48,0.107871,1.1431487301552635e+48,1.0100795023635466e+48,2.15322823251881e+48,2.15322823251881e+48
0.124,79181806947122.1,1.0976777447624242e+48,1.0555745592605481e+48,0.108624,1.1434785091389352e+48,1.0097737948840372e+48,2.1532523040229724e+48,2.1532523040229724e+48
0.125,79820369906373.08,1.0976900250756775e+48,1.0555863504514571e+48,0.109375,1.1438074448326454e+48,1.0094689306944892e+48,2.1532763755271346e+48,2.1532763755271346e+48
0.126,80458932865624.06,1.0977023053889308e+48,1.055598141642366e+48,0.110124,1.1441355372363944e+48,1.0091649097949024e+48,2.153300447031297e+48,2.153300447031297e+48
0.127,81097495824875.05,1.097714585702184e+48,1.0556099328332749e+48,0.110871,1.1444627863501823e+48,1.0088617321852767e+48,2.1533245185354588e+48,2.1533245185354588e+48
0.128,81736058784126.03,1.0977268660154373e+48,1.0556217240241838e+48,0.111616,1.1447891921740087e+48,1.0085593978656125e+48,2.153348590039621e+48,2.153348590039621e+48
0.129,82374621743377.02,1.0977391463286908e+48,1.055633515215093e+48,0.112359,1.145114754707874e+48,1.0082579068359097e+48,2.153372661543784e+48,2.153372661543784e+48
0.13,83013184702628.0,1.097751426641944e+48,1.0556453064060019e+48,0.1131,1.1454394739517778e+48,1.0079572590961681e+48,2.153396733047946e+48,2.153396733047946e+48
0.131,83651747661878.98,1.0977637069551975e+48,1.0556570975969107e+48,0.11383900000000001,1.1457633499057207e+48,1.0076574546463875e+48,2.1534208045521084e+48,2.1534208045521084e+48
0.132,84290310621129.97,1.0977759872684508e+48,1.0556688887878197e+48,0.11457600000000001,1.1460863825697021e+48,1.0073584934865683e+48,2.1534448760562706e+48,2.1534448760562706e+48
0.133,84928873580380.95,1.097788267581704e+48,1.0556806799787286e+48,0.11531100000000001,1.1464085719437222e+48,1.0070603756167104e+48,2.153468947560433e+48,2.153468947560433e+48
0.134,85567436539631.94,1.0978005478949573e+48,1.0556924711696376e+48,0.11604400000000001,1.146729918027781e+48,1.006763101036814e+48,2.153493019064595e+48,2.153493019064595e+48
0.135,86205999498882.94,1.0978128282082106e+48,1.0557042623605464e+48,0.116775,1.1470504208218785e+48,1.0064666697468785e+48,2.153517090568757e+48,2.153517090568757e+48
0.136,86844562458133.92,1.097825108521464e+48,1.0557160535514555e+48,0.11750400000000001,1.147370080326015e+48,1.0061710817469046e+48,2.1535411620729196e+48,2.1535411620729196e+48
0.137,87483125417384.9,1.0978373888347173e+48,1.0557278447423645e+48,0.118231,1.14768889654019e+48,1.0058763370368918e+48,2.1535652335770818e+48,2.1535652335770818e+48
0.138,88121688376635.89,1.0978496691479707e+48,1.0557396359332733e+48,0.118956,1.148006869464404e+48,1.00558243561684e+48,2.153589305081244e+48,2.153589305081244e+48
0.139,88760251335886.88,1.097861949461224e+48,1.0557514271241823e+48,0.11967900000000001,1.1483239990986565e+48,1.0052893774867498e+48,2.1536133765854063e+48,2.1536133765854063e+48
0.14,89398814295137.86,1.0978742297744773e+48,1.0557632183150912e+48,0.12040000000000001,1.1486402854429477e+48,1.0049971626466208e+48,2.1536374480895685e+48,2.1536374480895685e+48
0.14100000000000001,90037377254388.84,1.0978865100877306e+48,1.0557750095060002e+48,0.121119,1.1489557284972776e+48,1.0047057910964532e+48,2.1536615195937308e+48,2.1536615195937308e+48
0.14200000000000002,90675940213639.83,1.097898790400984e+48,1.055786800696909e+48,0.12183600000000001,1.1492703282616463e+48,1.0044152628362467e+48,2.153685591097893e+48,2.153685591097893e+48
0.14300000000000002,91314503172890.81,1.0979110707142373e+48,1.0557985918878181e+48,0.12255100000000001,1.1495840847360537e+48,1.0041255778660017e+48,2.1537096626020552e+48,2.1537096626020552e+48
0.14400000000000002,91953066132141.8,1.0979233510274907e+48,1.0558103830787271e+48,0.12326400000000001,1.1498969979205e+48,1.0038367361857178e+48,2.1537337341062178e+48,2.1537337341062178e+48
