shape_lane,interval_index,substep,macro_index,KL_photon,TV_G1,TV_G2a,KL_bernoulli,KL_thermal
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,12,7.548428888578587e+48,0.2966412846186762,0.30892151485247954,0.04519923373590396,3.8999545871408636e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,13,4.180634594220089e+48,0.29567518371870255,0.30748313898601787,0.04519923373590396,2.180505309772045e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,14,1.0103148136740385e+48,0.2949519605593786,0.3056388496984555,0.04519923373590557,5.304755816941945e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,15,1.0114948317567914e+48,0.29530479121993214,0.30700649080985254,0.04519923373590396,5.297028185721083e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,16,1.0192407407227947e+47,0.2951579935792754,0.306854617617113,0.045199233735903795,5.3478385594516974e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,2,17,2.7046071308071043e+45,0.29516187465890253,0.30689920649476304,0.04519923373590484,1.4188620145871148e+62
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,0,9.953373939227015e+48,0.3854690967854831,0.38701296300377963,0.03519659009906294,2.154308634578812e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,1,2.109214184340521e+48,0.3841606390893458,0.3825719704627502,0.03519659009906403,4.6152561336133316e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,2,1.0963898475688583e+48,0.3840531326007579,0.38194238002949576,0.03519659009906403,2.4014039643133676e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,3,5.599785571628128e+47,0.3840684424145602,0.3818180123833713,0.03519659009906403,1.2264184112915505e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,4,5.575300890175975e+46,0.38404137712914127,0.38122725537313007,0.03519659009906434,1.2214816014519101e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,5,1.4271890623759132e+45,0.38402538777865886,0.38108647698579956,0.0351965900990651,3.127270358178468e+61
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,6,1.6789502696546089e+49,0.36138368772925833,0.36410541175854205,0.03303538214311579,4.1516531276454347e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,7,1.782631618063568e+49,0.36094900887548265,0.3629159157813463,0.03303538214311656,4.424836407163483e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,8,8.509588991641847e+48,0.36074809693379034,0.3623152882184929,0.033035382143115334,2.116100690314177e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,9,3.978417070868343e+48,0.36063603346474915,0.36195621424443847,0.03303538214311549,9.90355468160982e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,10,3.8310923141413956e+47,0.36053167259472085,0.3615641036900231,0.03303538214311575,9.546619779013716e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,11,9.804731084831807e+45,0.3605075629563578,0.36146336474520535,0.03303538214311599,2.4437927056362e+62
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,12,1.3880779414929515e+49,0.3091036425090813,0.316329036039131,0.029535218934527332,4.7024119177014905e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,13,6.220168280741245e+48,0.3084896926283528,0.3152789194185363,0.029535218934525785,2.118515390639289e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,14,2.034505667524334e+48,0.30815860810137063,0.3144705187446137,0.029535218934526847,6.949222507124133e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,15,1.5663998913843278e+48,0.30832029189502796,0.31504558339423605,0.029535218934526285,5.343840891598783e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,16,1.587775773001081e+47,0.30822002789949543,0.3149449945584123,0.029535218934525855,5.423177332971664e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,1,17,4.2543592480558425e+45,0.3082571808386971,0.3150180863081633,0.029535218934527013,1.4524470375880075e+62
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2,0,9.573802192799062e+48,0.3790319228121124,0.38076178077686285,0.03263553490697614,5.984072313341281e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2,1,2.0321610799250933e+48,0.3778091585693829,0.37556227577981677,0.03263553490697615,1.2841850310247313e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,4,2,2,1.0567118606221692e+48,0.37770519843885925,0.3748771955264515,0.0326355349069761,6.684263046620177e+63
