shape_lane,interval_index,substep,z_mid,macro_index,mass_relative_residual,ionization_absolute_residual,temperature_relative_residual,J_G1_relative_residual,J_G2a_relative_residual,kappa_G1_relative_residual,kappa_G2a_relative_residual,capacity_violation_max,capacity_slack_min,transfer_relative_residual,kkt_stationarity_max,kkt_complementarity_max,active_capacity_nodes
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,11,0.0,1.1102230246251565e-16,2.495959044827448e-16,4.466556718744757e-16,3.4001135084289707e-16,1.1011428314305904e-20,8.470329472543003e-22,7.922816251426434e+28,-7.922816251426434e+28,0.0,4.440892098500626e-16,3.925710032181736e-18,1387
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,12,1.8339572708502834e-16,0.0,1.247979522413724e-16,1.5396020559292401e-15,2.507726628363288e-15,3.0357660829594124e-17,7.806255641895632e-18,1.6225927682921336e+32,-1.6225927682921336e+32,0.0,4.440892098500626e-16,3.484366483689368e-18,1381
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,13,0.0,2.220446049250313e-16,1.247979522413724e-16,5.242246422510842e-15,8.800535848001059e-16,5.204170427930421e-18,4.336808689942018e-19,8.112963841460668e+31,-8.112963841460668e+31,0.0,4.440892098500626e-16,2.169165761758995e-18,1383
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,14,2.0974247318470337e-16,2.220446049250313e-16,1.247979522413724e-16,0.0,1.0095791645990903e-15,4.336808689942018e-19,3.7947076036992655e-19,1.0141204801825835e+31,-1.0141204801825835e+31,2.469873154721498e-16,4.440892098500626e-16,1.9514104618495782e-18,1384
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,15,0.0,1.1102230246251565e-16,2.495959044827448e-16,4.462615469002278e-16,1.1395149280726763e-15,7.047314121155779e-19,8.673617379884035e-19,1.0141204801825835e+31,-1.0141204801825835e+31,1.495374235662106e-16,4.440892098500626e-16,2.6943574988758097e-18,1383
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,16,1.5899566531481618e-16,2.220446049250313e-16,3.7439385672411724e-16,2.478675905051612e-15,1.8514613804048683e-16,5.421010862427522e-20,1.3552527156068805e-20,2.535301200456459e+30,-2.535301200456459e+30,0.0,4.440892098500626e-16,2.803813784248687e-18,1383
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,17,0.0,0.0,2.495959044827448e-16,1.4553336274134326e-15,8.69648468228157e-16,1.2705494208814505e-21,1.6940658945086007e-21,3.961408125713217e+28,-3.961408125713217e+28,2.1985955975052845e-16,4.440892098500626e-16,2.588532746436003e-18,1383
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,0,0.0,0.0,2.5297945640865075e-16,5.825723870063217e-16,1.3108934117297628e-15,2.6020852139652106e-18,8.673617379884035e-18,6.084722881095501e+31,-6.084722881095501e+31,1.844645197326212e-16,4.440892098500626e-16,3.425343961965905e-18,1324
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,1,1.941654728699277e-16,1.1102230246251565e-16,3.7946918461297614e-16,4.061634654041553e-15,1.1734628532943977e-15,5.854691731421724e-18,4.336808689942018e-19,4.056481920730334e+31,-4.056481920730334e+31,1.3504125754047967e-16,4.440892098500626e-16,2.3288870731216865e-18,1323
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,5.75,2,0.0,0.0,1.2648972820432537e-16,2.7667853534280603e-15,1.925973490329899e-15,1.734723475976807e-18,8.131516293641283e-20,1.5211807202738753e+31,-1.5211807202738753e+31,2.7089322576249314e-16,4.440892098500626e-16,2.3930250809726265e-18,1324
