interval_index,selected_node_count,quantity,selected_average,GL512_average,absolute_variation_average,relative_residual
3,17,thermal_threshold_HeI_erg_cm-3_s-1,2.926608896976693e-33,2.9266125667149016e-33,2.9266125667149016e-33,1.2539200611569525e-06
3,17,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0
3,17,thermal_recombination_cooling_erg_cm-3_s-1,9.008382361693627e-34,9.008382361467109e-34,9.008382361467109e-34,2.5145328482039912e-11
3,17,thermal_excitation_cooling_erg_cm-3_s-1,5.983363290029028e-35,5.983363134122077e-35,5.983363134122077e-35,2.6056742243455732e-08
3,17,thermal_collisional_ionization_cooling_erg_cm-3_s-1,1.2192262922922882e-36,1.2192262594385285e-36,1.2192262594385285e-36,2.694640094238106e-08
3,17,thermal_free_free_cooling_erg_cm-3_s-1,7.952605838713066e-34,7.952605838447157e-34,7.952605838447157e-34,3.343680441969307e-11
3,17,thermal_cooling_total_erg_cm-3_s-1,1.757151679233252e-33,1.7571516775920856e-33,1.7571516775920856e-33,9.339924962284042e-10
3,17,thermal_expansion_work_erg_cm-3_s-1,1.5527298645852834e-32,1.5527298645344907e-32,1.5527298645344907e-32,3.271186536320101e-11
3,17,thermal_thermal_rhs_erg_cm-3_s-1,-9.996504692000007e-33,-9.996502774050762e-33,9.996502774050762e-33,1.9186202299241213e-07
4,17,redshift_threshold_loss_rate_s-1_cMpc-3,5.373645288201911e+48,5.3736452873301836e+48,5.3736452873301836e+48,1.6222276193528523e-10
4,17,absorption_G1_s-1_cMpc-3,3.2262755224887914e+50,3.226275520467037e+50,3.226275520467037e+50,6.266527835616907e-10
4,17,absorption_G2a_s-1_cMpc-3,1.36072353764795e+50,1.3607238422806242e+50,1.3607238422806242e+50,2.2387545855565004e-07
4,17,absorption_G2b_s-1_cMpc-3,6.66372543989167e+48,6.663755340553498e+48,6.663755340553498e+48,4.487058767979026e-06
4,17,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0
4,17,thermal_photoheat_erg_cm-3_s-1,6.428361976282556e-33,6.42838532079455e-33,6.42838532079455e-33,3.6314736639290394e-06
4,17,thermal_photoheat_H_erg_cm-3_s-1,5.156113772461274e-33,5.1561280313273376e-33,5.1561280313273376e-33,2.7654212573214123e-06
4,17,thermal_photoheat_HeI_erg_cm-3_s-1,1.2722482038212798e-33,1.272257289467211e-33,1.272257289467211e-33,7.141358911032863e-06
4,17,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0
4,17,thermal_threshold_H_erg_cm-3_s-1,1.0426773657714613e-32,1.0426805250865522e-32,1.0426805250865522e-32,3.0299933823367957e-06
4,17,thermal_threshold_HeI_erg_cm-3_s-1,2.617340137429137e-33,2.617359618514623e-33,2.617359618514623e-33,7.4430297420159295e-06
4,17,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0
4,17,thermal_recombination_cooling_erg_cm-3_s-1,8.231402690104354e-34,8.231402686595545e-34,8.231402686595545e-34,4.2627108235899996e-10
