interval_index,node_count,quantity,candidate_average,GL256_average,absolute_variation_average,dense_relative_residual,next_node_count,nested_relative_delta
1,33,thermal_excitation_cooling_erg_cm-3_s-1,4.300793990684988e-35,4.300793995267381e-35,4.300793995267381e-35,1.0654760707800206e-09,65.0,9.845799561966218e-10
1,33,thermal_collisional_ionization_cooling_erg_cm-3_s-1,7.285562963855762e-37,7.285562971753423e-37,7.285562971753423e-37,1.0840152547473972e-09,65.0,1.0015023138959136e-09
1,33,thermal_free_free_cooling_erg_cm-3_s-1,9.226887905020442e-34,9.226887905018574e-34,9.226887905018574e-34,2.0244548539201892e-13,65.0,1.853896386373768e-13
1,33,thermal_cooling_total_erg_cm-3_s-1,2.0408794983666847e-33,2.0408794984129166e-33,2.0408794984129166e-33,2.2652930618597776e-11,65.0,2.0933711044098933e-11
1,33,thermal_expansion_work_erg_cm-3_s-1,1.6828318530397817e-32,1.6828318530396386e-32,1.6828318530396386e-32,8.505926979179774e-14,65.0,7.578894784508103e-14
1,33,thermal_thermal_rhs_erg_cm-3_s-1,-1.1232772384203421e-32,-1.1232772360606498e-32,1.1232772360606498e-32,2.1007212214255703e-09,65.0,2.0646591959761666e-09
1,65,redshift_threshold_loss_rate_s-1_cMpc-3,5.19229808647841e+48,5.192298086232471e+48,5.192298086232471e+48,4.7366113800473496e-11,,
1,65,absorption_G1_s-1_cMpc-3,3.3871855843823413e+50,3.387185436232327e+50,3.387185436232327e+50,4.373838311724508e-08,,
1,65,absorption_G2a_s-1_cMpc-3,1.4217150733508283e+50,1.4217149585070998e+50,1.4217149585070998e+50,8.077830776863232e-08,,
1,65,absorption_G2b_s-1_cMpc-3,4.6556536574679804e+48,4.655653657805566e+48,4.655653657805566e+48,7.251089590267273e-11,,
1,65,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0,,
1,65,thermal_photoheat_erg_cm-3_s-1,7.636425667794377e-33,7.636425668202805e-33,7.636425668202805e-33,5.3484167494311205e-11,,
1,65,thermal_photoheat_H_erg_cm-3_s-1,6.271923031247117e-33,6.271923031566215e-33,6.271923031566215e-33,5.087719152489147e-11,,
1,65,thermal_photoheat_HeI_erg_cm-3_s-1,1.3645026365472585e-33,1.3645026366365894e-33,1.3645026366365894e-33,6.546773386568607e-11,,
1,65,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,,
1,65,thermal_threshold_H_erg_cm-3_s-1,1.4597201951177484e-32,1.4597201951903702e-32,1.4597201951903702e-32,4.9750456128991224e-11,,
1,65,thermal_threshold_HeI_erg_cm-3_s-1,3.538971954894337e-33,3.5389719550912065e-33,3.5389719550912065e-33,5.562898955072765e-11,,
1,65,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,,
1,65,thermal_recombination_cooling_erg_cm-3_s-1,1.0744542116612251e-33,1.07445421166121e-33,1.07445421166121e-33,1.4009913762603096e-14,,
1,65,thermal_excitation_cooling_erg_cm-3_s-1,4.3007939949194635e-35,4.300793995267381e-35,4.300793995267381e-35,8.089611466304727e-11,,
1,65,thermal_collisional_ionization_cooling_erg_cm-3_s-1,7.28556297115227e-37,7.285562971753423e-37,7.285562971753423e-37,8.251294093412045e-11,,
1,65,thermal_free_free_cooling_erg_cm-3_s-1,9.226887905018731e-34,9.226887905018574e-34,9.226887905018574e-34,1.7055846754638957e-14,,
1,65,thermal_cooling_total_erg_cm-3_s-1,2.040879498409408e-33,2.0408794984129166e-33,2.0408794984129166e-33,1.7192195745348298e-12,,
1,65,thermal_expansion_work_erg_cm-3_s-1,1.6828318530396542e-32,1.6828318530396386e-32,1.6828318530396386e-32,9.270321946716007e-15,,
1,65,thermal_thermal_rhs_erg_cm-3_s-1,-1.1232772361011574e-32,-1.1232772360606498e-32,1.1232772360606498e-32,3.606202537494818e-11,,
2,9,redshift_threshold_loss_rate_s-1_cMpc-3,2.925988420055461e+48,2.9259884196835004e+48,2.9259884196835004e+48,1.271230492754629e-10,17.0,1.187864607082992e-10
2,9,absorption_G1_s-1_cMpc-3,3.30271789665842e+50,3.3027178934803296e+50,3.3027178934803296e+50,9.622651294160434e-10,17.0,7.277293430814867e-10
2,9,absorption_G2a_s-1_cMpc-3,1.7451338447831292e+50,1.745133158852989e+50,1.745133158852989e+50,3.930531814930252e-07,17.0,4.7452903782425846e-07
2,9,absorption_G2b_s-1_cMpc-3,8.131783132574146e+48,8.131902142287459e+48,8.131902142287459e+48,1.463491705023774e-05,17.0,1.3667279737087327e-05
2,9,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0,17.0,0.0
2,9,thermal_photoheat_erg_cm-3_s-1,8.5532952288179e-33,8.553577502767606e-33,8.553577502767606e-33,3.300068884805547e-05,17.0,3.2446269885745704e-05
2,9,thermal_photoheat_H_erg_cm-3_s-1,6.970919042886314e-33,6.971219012209207e-33,6.971219012209207e-33,4.302967994094221e-05,17.0,4.288689849917962e-05
2,9,thermal_photoheat_HeI_erg_cm-3_s-1,1.5823761859315865e-33,1.5823584905583975e-33,1.5823584905583975e-33,1.1182910380074864e-05,17.0,1.3550936869462196e-05
2,9,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,17.0,0.0
2,9,thermal_threshold_H_erg_cm-3_s-1,1.2994573827015006e-32,1.2995186448131968e-32,1.2995186448131968e-32,4.714215678301712e-05,17.0,4.6983849784201015e-05
2,9,thermal_threshold_HeI_erg_cm-3_s-1,3.283917656742205e-33,3.283875340125295e-33,3.283875340125295e-33,1.2886182490984938e-05,17.0,1.558151114778905e-05
2,9,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,17.0,0.0
2,9,thermal_recombination_cooling_erg_cm-3_s-1,9.84390441127467e-34,9.84390431841466e-34,9.84390431841466e-34,9.43324984296511e-09,17.0,9.347609849002855e-09
2,9,thermal_excitation_cooling_erg_cm-3_s-1,7.47732318789061e-35,7.47763631404026e-35,7.47763631404026e-35,4.187501725139082e-05,17.0,4.173747162668356e-05
2,9,thermal_collisional_ionization_cooling_erg_cm-3_s-1,1.3834924468978973e-36,1.3835522032327821e-36,1.3835522032327821e-36,4.3190516949960315e-05,17.0,4.304796998885834e-05
2,9,thermal_free_free_cooling_erg_cm-3_s-1,8.568177825324569e-34,8.56817771525771e-34,8.56817771525771e-34,1.2846005638670584e-08,17.0,1.2737659842878032e-08
