shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,lp_pass,selected_model,one_mode_status,two_mode_status,refinement_status,farkas_h_dot_y
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,9,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-7.79468359646665054e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,10,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-7.83327885775376336e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,11,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-2.06299860217500670e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,12,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-2.82182988531882062e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,13,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-2.65671203920455623e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,14,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-5.59709403729036978e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,15,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-6.36743565732219088e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,16,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-6.57406055182248989e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,1,17,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-1.82139892462298709e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,0,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-7.97826407014356254e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,1,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-5.46717438570748060e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,2,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-3.86530228579263069e+00
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,3,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-9.54005721843248500e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,4,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-5.30594791436585847e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,5,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-1.28751256277508000e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,6,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-4.90384538759114086e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,7,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-6.02083034538966819e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,8,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-7.74382432913840346e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,9,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-1.73570722870937805e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,10,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-5.05250756153882818e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,11,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-8.67898899211329115e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,12,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-1.23005662684920775e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,13,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-4.87051524129930247e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,14,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-2.55725888283635028e+00
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,15,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-1.21430189179692816e+00
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,16,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-1.57536980659681247e-01
LOCAL_NEUTRAL_HAZARD_PRIMARY,2,2,17,5.75000000000000000e+00,1.08804373309742832e+01,False,NONE,,,NOT_RUN,-3.62259992457608171e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,0,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-5.47581596926481791e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,1,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-1.22516628826526753e-03
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,2,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-6.44750947625387155e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,3,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-3.22316388855037426e-04
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,4,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-2.86449330937474494e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,5,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-7.28684523631320317e-07
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,6,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-1.13648424422934866e-02
LOCAL_NEUTRAL_HAZARD_PRIMARY,3,1,7,5.65000000000000036e+00,1.12923124578075225e+01,False,NONE,,,NOT_RUN,-1.38490145667966962e-02
