shape_lane,interval_index,substep,z_mid,macro_index,tau_Myr,equilibrium_pass,violated_constraints,temperature_min_K,temperature_max_K,minimum_row_capacity_slack,normalized_mass_min,normalized_ionized_H_min,normalized_neutral_H_min,normalized_thermal_min,normalized_capacity_min,normalized_current_min,normalized_mass_cap_slack,normalized_volume_cap_slack,normalized_cycling_slack_min
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,17,100.0,True,,3512.3318626573378,79989.42335708994,-7.922816251426434e+29,6.451782973144722e-211,6.44842770023075e-211,3.35527291397194e-214,3.514291773748201e-208,4.618723826039357e-210,1.5345234636011744e-211,0.05982042445807624,0.9952293424021569,-7.640989513243621e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,0,300.0,True,,3511.721284856256,79975.51813169176,-1.0546852993898869e+34,9.291753100472116e-211,9.286925109301896e-211,4.827991170220153e-214,3.514291773748191e-208,7.527312387134366e-210,1.8524696937244152e-211,0.0073365030859946926,0.9931293763738547,-2.199107215910705e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,1,300.0,True,,3871.8826698681564,70812.76344470926,-7.910139745424151e+32,4.413526822595613e-212,4.4112335558354565e-212,2.2932667601565286e-215,3.514291773748195e-208,7.527312387134443e-210,1.8436993044825211e-211,0.013880776223334971,0.9996736495111949,-1.81269597851822e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,2,300.0,True,,3872.156915354957,70812.76344470942,-5.6283686650133385e+32,3.6286886191883636e-212,3.6268031540427324e-212,1.885465145630752e-215,3.5142917737482056e-208,7.527312387134483e-210,1.8425746909752494e-211,0.013938809705765293,0.9997316829936254,-2.7855366726060733e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,3,300.0,True,,3872.156915354974,70812.76344470943,-2.028240960365167e+32,3.5633472192076785e-212,3.561495705427172e-212,1.8515137805062699e-215,3.5142917737482043e-208,7.527312387134495e-210,1.8426931232754555e-211,0.013943641260818663,0.9997365145486787,-2.053941614461503e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,4,300.0,True,,3872.1569153549663,70812.76344470962,-5.133984930924329e+31,3.813927893618626e-212,3.8119461782205794e-212,1.981715398046524e-215,3.5142917737481983e-208,7.527312387134497e-210,1.8435406660781276e-211,0.013925112512979083,0.999717985800839,-4.841324059117961e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,5,300.0,True,,3872.1569153549713,70812.76344470939,-7.823781048283603e+29,3.735733336956959e-212,3.733792251419061e-212,1.9410855378983383e-215,3.5142917737482173e-208,7.52731238713446e-210,1.8434865552923737e-211,0.013930894472127442,0.9997237677599874,-2.9019190025886435e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,6,300.0,True,,3512.0800041895345,79975.5181316918,-1.3305260699995496e+34,4.89942635470929e-211,4.896880614747906e-211,2.5457399613829933e-214,3.5142917737482134e-208,6.551517713153202e-210,1.721156338548967e-211,0.021964484584623214,0.996377205237458,-2.3606322842245755e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,7,300.0,True,,3512.734606192187,75837.31542742692,-7.788445287802241e+33,1.7803752776845934e-211,1.7794501954070866e-211,9.250822775067959e-215,3.5142917737482004e-208,6.551517713153304e-210,1.7178326574631493e-211,0.024270812119291673,0.9986835327721264,-1.9851568174888417e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,8,300.0,True,,3513.70668744407,75837.31542742743,-6.003593242680894e+33,1.3867220761154019e-211,1.386001535882951e-211,7.205402324507536e-215,3.514291773748189e-208,6.55151771315067e-210,1.7165795976199867e-211,0.024561892064912657,0.9989746127177473,-3.488404941113642e-16
