shape_lane,interval_index,substep,z_mid,macro_index,tau_Myr,constraint,normalized_mass_min,normalized_ionized_H_min,normalized_neutral_H_min,normalized_thermal_min,normalized_capacity_min,normalized_current_min,normalized_mass_cap_slack,normalized_volume_cap_slack,normalized_cycling_slack_min,clipping_used
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,9,300.0,NEGATIVE_PHOTON_CURRENT,2.7615356966563425e-210,2.7594998640097997e-210,2.0358326465429582e-213,3.5217365427688704e-208,8.146302989966435e-210,-0.012812061151035052,0.011956552717977565,0.9795803093380444,-4.313561356197706e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,10,300.0,NEGATIVE_PHOTON_CURRENT,2.528415647233337e-210,2.5265375184502987e-210,1.8781287830380353e-213,3.5219283444878674e-208,8.255723569200746e-210,-0.014913349547927139,0.01368031797731543,0.9813040745973822,-4.8040654383790985e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,11,300.0,NEGATIVE_PHOTON_CURRENT,2.499899414894995e-210,2.498044513430575e-210,1.854901464419732e-213,3.5219003141932217e-208,8.239167095634015e-210,-0.01362607454425696,0.013891176248638303,0.9815149328687051,-3.7001078605066426e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,12,300.0,NEGATIVE_CYCLING_CAPACITY,1.6243868604264725e-209,1.62186806808307e-209,2.5187923434026466e-212,3.549700322261412e-208,-0.015791572685966752,-0.03260605491979991,-0.03688474348055705,0.8798875667426083,-3.868639011983952e-05,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,12,300.0,NEGATIVE_PHOTON_CURRENT,1.6243868604264725e-209,1.62186806808307e-209,2.5187923434026466e-212,3.549700322261412e-208,-0.015791572685966752,-0.03260605491979991,-0.03688474348055705,0.8798875667426083,-3.868639011983952e-05,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,12,300.0,MACRO_MASS_CAP_EXCEEDED,1.6243868604264725e-209,1.62186806808307e-209,2.5187923434026466e-212,3.549700322261412e-208,-0.015791572685966752,-0.03260605491979991,-0.03688474348055705,0.8798875667426083,-3.868639011983952e-05,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,12,300.0,CYCLING_CAPACITY_DEFICIT,1.6243868604264725e-209,1.62186806808307e-209,2.5187923434026466e-212,3.549700322261412e-208,-0.015791572685966752,-0.03260605491979991,-0.03688474348055705,0.8798875667426083,-3.868639011983952e-05,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,13,300.0,NEGATIVE_PHOTON_CURRENT,1.4047936896932528e-209,1.4037213964868995e-209,1.0722932063533655e-212,3.5226308284920256e-208,6.880833846713797e-210,-0.07319825194520918,-0.020647312172753653,0.8961249980504116,-4.595636304883787e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,13,300.0,MACRO_MASS_CAP_EXCEEDED,1.4047936896932528e-209,1.4037213964868995e-209,1.0722932063533655e-212,3.5226308284920256e-208,6.880833846713797e-210,-0.07319825194520918,-0.020647312172753653,0.8961249980504116,-4.595636304883787e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,14,300.0,NEGATIVE_CYCLING_CAPACITY,2.0573264185289108e-210,2.054559528618045e-210,2.766889910865424e-213,3.5426098113793423e-208,-0.013962344215383449,-0.03328091151774291,0.06801515093191048,0.9847874611550758,-1.0585633121813007e-05,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,14,300.0,NEGATIVE_PHOTON_CURRENT,2.0573264185289108e-210,2.054559528618045e-210,2.766889910865424e-213,3.5426098113793423e-208,-0.013962344215383449,-0.03328091151774291,0.06801515093191048,0.9847874611550758,-1.0585633121813007e-05,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,14,300.0,CYCLING_CAPACITY_DEFICIT,2.0573264185289108e-210,2.054559528618045e-210,2.766889910865424e-213,3.5426098113793423e-208,-0.013962344215383449,-0.03328091151774291,0.06801515093191048,0.9847874611550758,-1.0585633121813007e-05,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,15,300.0,NEGATIVE_PHOTON_CURRENT,1.18960896547326e-209,1.1887089161376778e-209,9.00049335582086e-213,3.5224006402935642e-208,6.695582061655442e-210,-0.05335789312994881,-0.004735855699202611,0.9120364545239626,-7.894768067298024e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,15,300.0,MACRO_MASS_CAP_EXCEEDED,1.18960896547326e-209,1.1887089161376778e-209,9.00049335582086e-213,3.5224006402935642e-208,6.695582061655442e-210,-0.05335789312994881,-0.004735855699202611,0.9120364545239626,-7.894768067298024e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,16,300.0,NEGATIVE_PHOTON_CURRENT,1.1775981846846598e-209,1.1767057077086335e-209,8.92476976026341e-213,3.5224447216133445e-208,6.72944233319792e-210,-0.05294810129285855,-0.0038477396099964624,0.9129245706131688,-5.285917355430964e-17,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,1,5.85,16,300.0,MACRO_MASS_CAP_EXCEEDED,1.1775981846846598e-209,1.1767057077086335e-209,8.92476976026341e-213,3.5224447216133445e-208,6.72944233319792e-210,-0.05294810129285855,-0.0038477396099964624,0.9129245706131688,-5.285917355430964e-17,False
