shape_lane,interval_index,substep,substeps_per_interval,z_mid,tau_Myr,relaxation_lambda,absolute_state_feasible,shape_only_feasible,absolute_mass_min_cMpc3,absolute_mass_cap_slack_min_cMpc3,absolute_volume_cap_slack_min_cMpc3,absolute_opacity_min_cMpc_inv,absolute_cycling_slack_min_s_inv_cMpc3,shape_mass_simplex_residual,shape_mass_min,shape_mass_upper_slack_min,shape_opacity_simplex_residual_max,shape_opacity_min,shape_cycling_slack_min,blocking_for_R2B_core_gate,definition
RECOMBINATION_WEIGHTED_AUDITOR,0,2,2,5.95,10.0,0.6364149217279105,True,True,5.4563159504567904e+60,2.6170811156864604e+62,4.358177551955256e+63,3.928697859157292e-08,1.448865986189474e+44,0.0,1.0142971414300811e-05,0.0004897853371499333,1.1102230246251565e-16,4.528820597172597e-06,5.717993014318302e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,0,2,2,5.95,100.0,0.09622441459146866,True,True,5.982235319962127e+60,2.596772272942101e+62,4.35614666768082e+63,4.278944571580172e-08,1.6574769578315369e+44,6.661338147750939e-16,1.0148296523482316e-05,0.0004897825545986767,1.4432899320127035e-15,4.528820597172597e-06,5.774244269538549e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,0,2,2,5.95,300.0,0.0331623924176628,True,True,7.160477621195259e+60,2.551273401826169e+62,4.351596780569227e+63,5.0636190224044945e-08,2.1248380887235446e+44,1.3322676295501878e-15,1.0160226620109554e-05,0.000489776320716097,4.218847493575595e-15,4.528820597172597e-06,5.900266645288455e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,1,1,2,5.85,10.0,0.6496856537667187,True,True,9.797354052397938e+60,2.514172735910816e+62,3.418501321600578e+63,9.489452318812236e-08,1.987601386222577e+44,1.1102230246251565e-16,1.3331327227122951e-05,0.00037602012829696514,0.0,7.03658551260478e-06,1.087577679366543e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,1,1,2,5.85,100.0,0.09957863289317179,False,False,3.396692666572426e+61,1.6819101686544942e+62,3.335275064874946e+63,4.0334309029860357e-07,-2.8683657211662253e+49,4.440892098500626e-16,-0.34197517749381273,0.00032325827319109387,1.3322676295501878e-15,-0.42538625901315164,-0.012261203718584024,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,1,1,2,5.85,300.0,0.034359962803547535,False,False,-1.8213239073782233e+65,-7.548629966141883e+65,3.1487076884102446e+63,1.094788821539518e-06,-9.91338806427635e+49,1.2212453270876722e-15,-1.333518332010088,0.00020498260789277167,3.552713678800501e-15,-1.6211940433424123,-0.06699337131732785,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,1,2,2,5.85,10.0,0.6496856537667187,True,True,8.125912438142857e+60,2.5707363563491026e+62,3.425568459778877e+63,7.840470174621056e-08,2.270425213834439e+44,0.0,1.2154257429050989e-05,0.00038269822466021697,1.1102230246251565e-16,6.158079485748394e-06,1.0584037838772082e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,1,2,2,5.85,100.0,0.09957863289317179,False,True,7.359235338037815e+60,2.5916599623106786e+62,3.4276608203750345e+63,9.536314787525764e-08,-4.135767187906884e+48,6.661338147750939e-16,1.1822673918977409e-05,0.0003827924868028319,1.1102230246251565e-15,6.158079485748387e-06,6.973720471257567e-07,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,1,2,2,5.85,300.0,0.034359962803547535,False,False,5.6405837875577134e+60,2.6385641776871e+62,3.432351241912677e+63,1.3337870844101188e-07,-2.350241933978958e+49,1.9984014443252818e-15,1.107936684273434e-05,0.00038300379320227245,3.4416913763379853e-15,6.158079485748371e-06,-3.4731354928455526e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
RECOMBINATION_WEIGHTED_AUDITOR,2,1,2,5.75,10.0,0.6631251333278736,True,True,2.4698456276168187e+61,2.1125190598263367e+62,2.431914394677322e+63,3.1563882787156976e-07,1.0986934520122984e+45,1.1102230246251565e-16,1.79438954511584e-05,0.0001868208348778623,2.220446049250313e-16,1.0401412359211207e-05,3.8115833295031173e-06,False,implied equilibrium y_eq=y_prev+(y_target-y_prev)/(1-exp(-dt/tau)); auditor only
