shape_lane,interval_index,substep,macro_index,endpoint_previous_C,endpoint_previous_I,endpoint_previous_J_G1,endpoint_previous_J_G2a,endpoint_previous_M,endpoint_previous_U,endpoint_target_C,endpoint_target_I,endpoint_target_J_G1,endpoint_target_J_G2a,endpoint_target_M,endpoint_target_U,M_sink_H_cap_cosmic_cMpc3,M_sink_H_cap_volume_cMpc3,prev_cap_cosmic,prev_cap_volume,neutral_previous,neutral_target,previous_state_cone_pass,target_state_cone_pass,previous_mass_caps_pass,target_mass_caps_pass,J_endpoint_nonnegative_pass,convex_state_segment_pass,minimum_endpoint_neutral_slack,minimum_endpoint_cosmic_cap_slack,minimum_endpoint_volume_cap_slack
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,10,7.4982008804073e+47,1.4994606204913205e+63,6.3150179075463915e+47,7.892788013898101e+46,1.51087413429993e+63,4.552165408377293e+51,7.501553588534571e+47,1.500131590956181e+63,6.315017907546381e+47,7.892788013898085e+46,1.5115496990214072e+63,4.554160073180292e+51,4.3210149684673677e+64,1.6887356056266576e+66,4.3210149684673677e+64,1.6887356056266576e+66,1.1413513808609618e+61,1.1418108065226273e+61,True,True,True,True,True,True,1.1413513808609618e+61,4.169859998565227e+64,1.687224055927636e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,11,1.9131299885488549e+46,3.8258018496220847e+61,1.6176659912193343e+46,1.9496123739080125e+45,3.8549228826408493e+61,1.1614631688992952e+50,1.913985415945832e+46,3.8275137985792124e+61,1.6176659912193336e+46,1.949612373908015e+45,3.8566465536233664e+61,1.1619720980561133e+50,1.121562154885324e+63,4.383280221660519e+64,1.121562154885324e+63,4.383280221660519e+64,2.9121033018764653e+59,2.913275504415395e+59,True,True,True,True,True,True,2.9121033018764653e+59,1.0829956893490902e+63,4.379423575106896e+64
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,12,6.004793468319635e+49,1.200814899938997e+65,4.475312386501754e+49,1.2140303178654384e+49,1.2099551982934458e+65,3.6455162440846407e+53,6.007478421708446e+49,1.2013522340447497e+65,4.4753123865017375e+49,1.2140303178654392e+49,1.2104962116233975e+65,3.647113633961435e+53,2.023106764287333e+65,3.1321766099781997e+66,2.023106764287333e+65,3.1321766099781997e+66,9.140298354448746e+62,9.143977578647894e+62,True,True,True,True,True,True,9.140298354448746e+62,8.126105526639355e+64,3.01112698881586e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,13,1.695091203699795e+49,3.3897764925591186e+64,1.301055752366207e+49,3.049869573267081e+48,3.41557861118578e+64,1.0290916000516235e+53,1.6958491383224812e+49,3.391293331266253e+64,1.3010557523662076e+49,3.049869573267072e+48,3.417105835962991e+64,1.0295425267226768e+53,3.875371926162632e+65,5.999856021621605e+66,3.875371926162632e+65,5.999856021621605e+66,2.580211862666141e+62,2.581250469673774e+62,True,True,True,True,True,True,2.580211862666141e+62,3.533661342566333e+65,5.965684963261975e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,6.426018969587543e+48,1.2850499133204514e+64,4.9444255184649936e+48,1.144014381363673e+48,1.2948313872251345e+64,3.9012426758755683e+52,6.428892267645167e+48,1.2856249404508249e+64,4.944425518465003e+48,1.1440143813636716e+48,1.295410351670691e+64,3.902952119789711e+52,2.1825486229520344e+65,3.379024709730831e+66,2.1825486229520344e+65,3.379024709730831e+66,9.781473904683065e+61,9.785411219866138e+61,True,True,True,True,True,True,9.781473904683065e+61,2.0530075877849653e+65,3.3660706062141242e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,3.8561782563200795e+48,7.711433093311259e+63,2.9930237199099875e+48,6.605773148435464e+47,7.770130565516855e+63,2.341089755653948e+52,3.857902488624119e+48,7.71488376335664e+63,2.993023719909998e+48,6.6057731484354496e+47,7.773604862926659e+63,2.3421155728019081e+52,1.0862087234958699e+65,1.681669804750275e+66,1.0862087234958699e+65,1.681669804750275e+66,5.869747220559595e+61,5.872109957001821e+61,True,True,True,True,True,True,5.869747220559595e+61,1.0084726748666033e+65,1.6738961998873483e+66
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,16,3.861731079913524e+47,7.7225374107918205e+62,3.0296846973443694e+47,6.291774536435115e+46,7.781319406244755e+62,2.344460880525641e+51,3.8634577950794e+47,7.725993049736659e+62,3.02968469734437e+47,6.291774536435109e+46,7.784798706576973e+62,2.3454881748308495e+51,1.0898279264988302e+64,1.6872730597008994e+65,1.0898279264988302e+64,1.6872730597008994e+65,5.878199545293435e+60,5.880565684031364e+60,True,True,True,True,True,True,5.878199545293435e+60,1.0119799394330604e+64,1.6794882609943225e+65
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,17,1.032087641034306e+46,2.063928133307973e+61,8.085882661821196e+45,1.6928055174686376e+45,2.079638230610675e+61,6.265814603882532e+49,1.0325491235522252e+46,2.0648516886185424e+61,8.085882661821196e+45,1.6928055174686395e+45,2.0805681096721679e+61,6.268560154347255e+49,2.828756129330972e+62,4.379484039115477e+63,2.828756129330972e+62,4.379484039115477e+63,1.5710097302702169e+59,1.5716421053625474e+59,True,True,True,True,True,True,1.5710097302702169e+59,2.6206993183637554e+62,4.358678358018755e+63
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,0,4.734281549410279e+49,9.467432617699559e+64,3.532375821099313e+49,9.511942065891985e+48,9.539493075182654e+64,2.874161432436065e+53,4.786981387561816e+49,9.572060086407161e+64,3.570704852365172e+49,9.609626524385065e+48,9.644838216175146e+64,2.905358520983816e+53,1.9982867080879831e+65,1.4064936081990275e+67,1.9982867080879831e+65,1.406538245611929e+67,7.2060457483095085e+62,7.2778129767985235e+62,True,True,True,True,True,True,7.2060457483095085e+62,1.0338028864704685e+65,1.3968487699828523e+67
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,2,1,4.307613979746749e+48,8.614199360701927e+63,3.5842206439798006e+48,4.952766839411186e+47,8.67976551489058e+63,2.615133434122169e+52,4.355791596023324e+48,8.70985188898735e+63,3.6231122319887216e+48,5.0036300956630435e+47,8.776074491573895e+63,2.6436568694456057e+52,3.8278277477244722e+65,2.6942156191454304e+67,3.8278277477244722e+65,2.6943011245571405e+67,6.55661541886527e+61,6.622260258654489e+61,True,True,True,True,True,True,6.55661541886527e+61,3.7400670028087333e+65,2.693338011696273e+67
