shape_lane,interval_index,substep,z_mid,state_rows,M,I,N,U,C_old,C_local,B_old,B_local,R_rec,Q_coll,J_G1,J_G2a,kappa_G1,kappa_G2a,S_plus,S_minus,S_net,local_budget_violation_nodes,old_local_budget_mismatch_nodes,gamma_M_weight,recomb_down_M_weight,coll_up_M_weight,max_current_gamma_resid,max_old_capacity_rel_violation,max_local_budget_rel_violation,min_local_budget_slack,min_old_capacity_slack,x_mass_weighted,T_mass_weighted_K,gamma_mass_weighted_Myr_inv,recombination_down_mass_weighted_Myr_inv,collisional_up_mass_weighted_Myr_inv,old_to_local_budget_ratio,local_budget_to_J_ratio
SCRIPT_SELF_SHIELDING_AUDITOR,0,1,5.95,46080,5.287538531899683e+65,5.247596949829728e+65,3.994158206995567e+63,1.593086676737768e+54,2.6241117757600854e+50,2.0788509217968439e+49,8.378302904673582e+64,6.63738598232115e+63,8.27867553866892e+48,7.775214449675454e+48,2.0202821952699787e+50,4.6486550545515715e+49,0.019121154753139736,0.00853711942890818,7.401578490069115e+47,0.0,7.401578490069115e+47,33193,46080,3.062533971018533e+52,8.362690387052236e+48,4.305117383069633e+50,7.840245030416579e-16,1.2889259661309547e-15,0.9399634594885624,-1.479900041488781e+48,-3.2451855365842673e+32,0.9924460915359788,14548.268864607982,1.8278112104668074,0.000499110193838388,0.025694218871091117,12.622895409411793,0.08365100075099201
SCRIPT_SELF_SHIELDING_AUDITOR,0,2,5.95,46080,5.346006235809437e+65,5.305666281229619e+65,4.033995457981804e+63,1.6104017944430708e+54,2.653360458207655e+50,2.1006331771355415e+49,8.471688530763143e+64,6.706932689462345e+63,8.371726523617395e+48,7.845231779813904e+48,2.042203831967251e+50,4.696395184651111e+49,0.019328634187800748,0.008624792785487289,1.83122754186478e+49,0.0,1.83122754186478e+49,33186,46080,3.098161059230566e+52,8.45659434145832e+48,4.348287262222752e+50,7.31269119120709e-16,1.3674143273174015e-15,0.9400175404486562,-1.4963689433475843e+48,-3.2451855365842673e+32,0.9924541886409322,14545.553199444143,1.8288517283775878,0.0004991947442979336,0.025668041534849435,12.631241318514363,0.08362914736597568
SCRIPT_SELF_SHIELDING_AUDITOR,1,1,5.85,46080,6.766419432000051e+65,6.707461312457134e+65,5.895811954291655e+63,2.037572698029098e+54,2.588855484194382e+50,2.7801254941100774e+49,8.569509431076957e+64,9.202642552590229e+63,9.989961034013558e+48,1.1036746888431661e+49,1.6912427145616527e+50,6.479631580844805e+49,0.02736433619235515,0.012233511704903322,4.291079346321471e+50,0.0,4.291079346321471e+50,31566,46080,2.4692360529693315e+52,1.0107381972695334e+49,5.288745402407858e+50,7.890838967935945e-16,1.385654135043581e-15,0.9160497310874497,-1.622298408582787e+48,-3.2451855365842673e+32,0.9912866590468676,14540.510555521787,1.1516159240242674,0.000471393652946,0.024665942392177884,9.312009438707294,0.1188491157028933
SCRIPT_SELF_SHIELDING_AUDITOR,1,2,5.85,46080,6.714036018719884e+65,6.652786973405671e+65,6.124904531421219e+63,2.026660104612448e+54,2.5711679950896974e+50,2.8386788743093226e+49,8.510961124452638e+64,9.396463237793525e+63,9.883404373348615e+48,1.1593982504690662e+49,1.696328853238593e+50,6.651170309154147e+49,0.027446630003574033,0.012557375957744706,0.0,1.5825070016188546e+49,-1.5825070016188546e+49,31845,46080,2.3977248968013055e+52,1.0005051950702804e+49,5.313983098821943e+50,8.815334821420519e-16,1.2574570465401224e-15,0.9129466647676793,-1.6106181393384526e+48,-4.867778304876401e+32,0.9908774625063911,14575.474764423527,1.1269889376870463,0.0004702617420567514,0.024977011230177586,9.057621904186986,0.1202093553512146
SCRIPT_SELF_SHIELDING_AUDITOR,2,1,5.75,46080,1.195703057371628e+66,1.182518500435312e+66,1.3184556936316114e+64,3.561006703130499e+54,3.3636798002896704e+50,5.490716282690864e+49,1.154954741456916e+65,1.885295028421668e+64,1.6508577799661534e+49,2.2003972548584253e+49,1.8693321414003946e+50,8.838279021543838e+49,0.057274657534394126,0.026232714402515196,1.5269650181637e+51,0.0,1.5269650181637e+51,28320,46080,2.240339593201466e+52,1.6755296674175498e+49,8.318675320158466e+50,8.262104800352814e-16,1.2533179291633572e-15,0.8662801448128004,-2.058133949662158e+48,-3.2451855365842673e+32,0.988973385277363,14380.530572471062,0.59128175938452,0.0004422142663808724,0.021955068749300824,6.12612203419335,0.19943324019774217
SCRIPT_SELF_SHIELDING_AUDITOR,2,2,5.75,46080,1.1375815617910117e+66,1.1232900588450657e+66,1.4291502945945996e+64,3.367537044140763e+54,3.254083557100617e+50,5.73586648825243e+49,1.1173237217902514e+65,1.969469922910164e+64,1.5736220253725715e+49,2.295364318175597e+49,1.8379012658584917e+50,9.253427630471681e+49,0.05631164374310495,0.0274649084604376,0.0,1.692725209305849e+50,-1.692725209305849e+50,28570,46080,2.003831488664482e+52,1.6004380074891385e+49,7.630591314883818e+50,8.232476614149354e-16,1.3746199268973005e-15,0.852831499307664,-1.975395280415364e+48,-3.2451855365842673e+32,0.987436942171034,14294.049963317242,0.5558820106676056,0.0004439768027324781,0.021167989757099825,5.673220539155283,0.20757726890027994
SCRIPT_SELF_SHIELDING_AUDITOR,3,1,5.65,46080,5.4077176455771015e+65,5.339396295887324e+65,6.832134968977713e+63,1.594238698880095e+54,1.8686409295022401e+50,2.6695460638538943e+49,6.659056668621455e+64,9.513148426773298e+63,7.523365138774663e+48,1.1026534632515293e+49,1.1747632598920325e+50,4.879711221373276e+49,0.023916259572287834,0.012326184745082774,0.0,1.6747465440460827e+51,-1.6747465440460827e+51,30042,46080,1.2154234351411546e+52,7.652758637703254e+48,3.628203936693505e+50,8.415638702453802e-16,1.3557098364631237e-15,0.8822790679461109,-1.0246731197646323e+48,-2.4338891524382005e+32,0.9873659547025987,14235.240136797855,0.7092797573886134,0.0004465889527030058,0.021172963541512716,6.999845235128005,0.16055156450158473
SCRIPT_SELF_SHIELDING_AUDITOR,3,2,5.65,46080,6.188524406046254e+65,6.112419010193245e+65,7.610539585300772e+63,1.822978083199871e+54,2.1349713671388617e+50,2.9977999454657113e+49,7.60814723428376e+64,1.0682908312066142e+64,8.62157245246116e+48,1.2246521960152361e+49,1.3381561347471237e+50,5.482491053523212e+49,0.0272426714041117,0.013848810825729916,2.1910723143714572e+50,0.0,2.1910723143714572e+50,29946,46080,1.4120136753283685e+52,8.765884153418271e+48,4.136206006328922e+50,8.739184414010588e-16,1.348393066904338e-15,0.8847979266697633,-1.1722958212219488e+48,-3.2451855365842673e+32,0.987702174079066,14223.936264034559,0.7200385719899103,0.0004470052109508395,0.02109206106350613,7.121794002191803,0.15891601028990343
SCRIPT_SELF_SHIELDING_AUDITOR,4,1,5.55,46080,6.859678396727042e+65,6.8061263383884565e+65,5.355205833858476e+63,2.0760265648078792e+54,2.5724689166076274e+50,2.4121429591077285e+49,9.519514741777403e+64,8.926222707787531e+63,9.649998091340357e+48,1.0630338610435185e+49,1.8162970293028797e+50,6.577519258111953e+49,0.0245827311255429,0.010426678118840871,1.8136667951218842e+50,0.0,1.8136667951218842e+50,34079,46080,2.9593319378121337e+52,9.752667453636047e+48,5.613943653786343e+50,8.454651050413473e-16,1.3685787968125926e-15,0.9307144940821861,-1.307244096820896e+48,-4.867778304876401e+32,0.9921932115120533,14613.512305565735,1.3614255386266954,0.0004486664835216059,0.025826660960265643,10.664661921858913,0.09749778613400589
SCRIPT_SELF_SHIELDING_AUDITOR,4,2,5.55,46080,7.123058011280248e+65,7.070780023049297e+65,5.2277988230951085e+63,2.1780912225580518e+54,2.6466407052815214e+50,2.4066562840878715e+49,9.793990142100707e+64,8.905919067421782e+63,9.939424704655671e+48,1.0974163071888236e+49,1.8426792637680192e+50,6.500349630293549e+49,0.02493980233464821,0.010304348888284727,7.117336230730105e+49,0.0,7.117336230730105e+49,33305,46080,3.1397086695288385e+52,1.0038813467327512e+49,6.172554009849854e+50,8.23528090909154e-16,1.4358109369818124e-15,0.9335715300178457,-1.3457892941065901e+48,-3.2451855365842673e+32,0.9926607381059985,14765.054073920026,1.3909990646238615,0.000444754007864096,0.027346539942923673,10.997169486894988,0.09654762099143352
