interval_index,substep,z_mid,q_refinement,dt_refined_Myr,neutral_inventory_H_cMpc3,recombination_rate_s_inv_cMpc3,C_original_s_inv_cMpc3,C_refined_s_inv_cMpc3,C_refined_over_original,C_change_relative_to_original,integrated_budget_original_H_cMpc3,integrated_budget_refined_one_substep_H_cMpc3
3,1,5.65,4,2.8230781144518806,6.832134968977684e+63,1.676919974504598e+50,1.86864092950224e+50,2.4438037944951657e+50,1.3077974242735522,0.30779742427355217,6.659056668621455e+64,2.1771742898286898e+64
3,1,5.65,8,1.4115390572259403,6.832134968977684e+63,1.676919974504598e+50,1.86864092950224e+50,3.2106876144857337e+50,1.7181939899716219,0.7181939899716219,6.659056668621455e+64,1.4301938933632292e+64
3,2,5.65,1,11.292312457807522,7.610539585300818e+63,1.921407097116901e+50,2.134971367138862e+50,2.134971367138862e+50,1.0,0.0,7.60814723428376e+64,7.60814723428376e+64
3,2,5.65,2,5.646156228903761,7.610539585300818e+63,1.921407097116901e+50,2.134971367138862e+50,2.3485356371608227e+50,1.100031444594109,0.10003144459410918,7.60814723428376e+64,4.184600596406921e+64
3,2,5.65,4,2.8230781144518806,7.610539585300818e+63,1.921407097116901e+50,2.134971367138862e+50,2.7756641772047443e+50,1.3000943337823276,0.3000943337823277,7.60814723428376e+64,2.4728272774685014e+64
3,2,5.65,8,1.4115390572259403,7.610539585300818e+63,1.921407097116901e+50,2.134971367138862e+50,3.6299212572925876e+50,1.7002201121587648,0.7002201121587648,7.60814723428376e+64,1.6169406179992914e+64
4,1,5.55,1,11.726292089942335,5.355205833858452e+63,2.4277546016102588e+50,2.5724689166076274e+50,2.5724689166076274e+50,1.0,0.0,9.519514741777404e+64,9.519514741777404e+64
4,1,5.55,2,5.863146044971168,5.355205833858452e+63,2.4277546016102588e+50,2.5724689166076274e+50,2.717183231604996e+50,1.0562550295799906,0.05625502957999069,9.519514741777404e+64,5.0275176625816245e+64
4,1,5.55,4,2.931573022485584,5.355205833858452e+63,2.4277546016102588e+50,2.5724689166076274e+50,3.0066118615997335e+50,1.168765088739972,0.16876508873997206,9.519514741777404e+64,2.781519122983735e+64
4,1,5.55,8,1.465786511242792,5.355205833858452e+63,2.4277546016102588e+50,2.5724689166076274e+50,3.585469121589208e+50,1.3937852070599346,0.39378520705993464,9.519514741777404e+64,1.65851985318479e+64
4,2,5.55,1,11.726292089942335,5.227798823094943e+63,2.5053693239192958e+50,2.646640705281522e+50,2.646640705281522e+50,1.0,0.0,9.793990142100708e+64,9.793990142100708e+64
4,2,5.55,2,5.863146044971168,5.227798823094943e+63,2.5053693239192958e+50,2.646640705281522e+50,2.787912086643748e+50,1.0533776198183271,0.05337761981832705,9.793990142100708e+64,5.158385012205101e+64
4,2,5.55,4,2.931573022485584,5.227798823094943e+63,2.5053693239192958e+50,2.646640705281522e+50,3.0704548493681996e+50,1.160132859454981,0.160132859454981,9.793990142100708e+64,2.840582447257298e+64
4,2,5.55,8,1.465786511242792,5.227798823094943e+63,2.5053693239192958e+50,2.646640705281522e+50,3.6355403748171033e+50,1.3736433387282891,0.37364333872828903,9.793990142100708e+64,1.681681164783396e+64
